,Building Type,Attribute,Attribute Type,Incremental Change
0,apartment-highrise,air_leakage,air_leakage,0.006044976821543572
1,apartment-highrise,lighting_density_office,lighting_density,0.0003405513154175314
2,apartment-highrise,lighting_density_residence,lighting_density,0.043179373442473
3,apartment-highrise,lighting_density_corridor,lighting_density,0.0028962924885947397
4,apartment-highrise,lighting_density_elevator,lighting_density,2.037596093031747e-05
5,apartment-highrise,equipment_density_office,equipment_density,0.0004342491550551081
6,apartment-highrise,equipment_density_residence,equipment_density,0.036706416801596614
7,apartment-highrise,equipment_density_elevator,equipment_density,0.0002039316348330727
8,apartment-highrise,dhw_residence,dhw,0.0037823984825813583
9,apartment-highrise,heating_setpoint,setpoint,9.681110100624221e-05
10,apartment-highrise,cooling_setpoint,setpoint,0.0006299279107770082
11,apartment-highrise,heating_setpoint_setback,setpoint,8.248915088341553e-05
12,apartment-highrise,cooling_setpoint_setup,setpoint,3.7504361920356755e-06
13,apartment-highrise,heating_setpoint_residence,setpoint,0.018686636598303694
14,apartment-highrise,cooling_setpoint_residence,setpoint,0.026906515839781403
15,apartment-highrise,heating_setpoint_corridor,setpoint,0.0014343592864234725
16,apartment-highrise,oa_person_office,oa_person,0.000212799683840449
17,apartment-highrise,oa_person_residence,oa_person,0.07651642647343421
18,apartment-highrise,oa_person_corridor,oa_person,0.0
19,apartment-highrise,oa_area_office,oa_area,0.00048742471392645607
20,apartment-highrise,oa_area_residence,oa_area,0.06150103301104162
21,apartment-highrise,oa_area_corridor,oa_area,0.005646116584006324
22,apartment-midrise,air_leakage,air_leakage,0.00736834019047619
23,apartment-midrise,lighting_density_office,lighting_density,0.0008128474375
24,apartment-midrise,lighting_density_residence,lighting_density,0.03821498875
25,apartment-midrise,lighting_density_corridor,lighting_density,0.007521115375
26,apartment-midrise,lighting_density_elevator,lighting_density,4.5907624999999996e-05
27,apartment-midrise,equipment_density_office,equipment_density,0.0011155591333333332
28,apartment-midrise,equipment_density_residence,equipment_density,0.033048260153846154
29,apartment-midrise,equipment_density_elevator,equipment_density,0.00044837155999999997
30,apartment-midrise,dhw_residence,dhw,0.0045994563265306125
31,apartment-midrise,heating_setpoint,setpoint,8.58879e-05
32,apartment-midrise,cooling_setpoint,setpoint,2.64218e-05
33,apartment-midrise,heating_setpoint_setback,setpoint,1.6524549999999997e-05
34,apartment-midrise,cooling_setpoint_setup,setpoint,9.0591e-05
35,apartment-midrise,heating_setpoint_residence,setpoint,0.018673045399999998
36,apartment-midrise,cooling_setpoint_residence,setpoint,0.021959296600000004
37,apartment-midrise,heating_setpoint_corridor,setpoint,0.0011727884499999998
38,apartment-midrise,oa_person_office,oa_person,0.00025800549999999996
39,apartment-midrise,oa_person_residence,oa_person,0.07377948783333334
40,apartment-midrise,oa_person_corridor,oa_person,0.0
41,apartment-midrise,oa_area_office,oa_area,0.00038547375
42,apartment-midrise,oa_area_residence,oa_area,0.06420892916666668
43,apartment-midrise,oa_area_corridor,oa_area,0.0045503575
44,hotel-large,air_leakage,air_leakage,3.7142857142857143e-05
45,hotel-large,air_leakage_basement,air_leakage,0.0
46,hotel-large,lighting_density_target,lighting_density,0.0310275
47,hotel-large,equipment_density_banquet,equipment_density,0.0005505000000000001
48,hotel-large,equipment_density_basement,equipment_density,0.005773888888888888
49,hotel-large,equipment_density_cafeteria,equipment_density,0.0006088888888888888
50,hotel-large,equipment_density_corridor,equipment_density,0.0054005
51,hotel-large,equipment_density_dining,equipment_density,0.0005496666666666667
52,hotel-large,equipment_density_kitchen,equipment_density,0.00016122222222222224
53,hotel-large,equipment_density_laundry,equipment_density,0.000208
54,hotel-large,equipment_density_lobby,equipment_density,0.0034385
55,hotel-large,equipment_density_retail,equipment_density,0.0004789285714285715
56,hotel-large,equipment_density_residence,equipment_density,0.0016406666666666668
57,hotel-large,equipment_density_residence2,equipment_density,0.008306000000000001
58,hotel-large,equipment_density_storage,equipment_density,0.0002872222222222222
59,hotel-large,equipment_density_mechanical,equipment_density,0.0004983333333333334
60,hotel-large,gas_max_kitchen,gas,0.002375
61,hotel-large,gas_max_laundry,gas,0.059
62,hotel-large,dhw_cafeteria,dhw,0.0
63,hotel-large,dhw_kitchen,dhw,4.333333333333334e-06
64,hotel-large,dhw_laundry,dhw,2.8285714285714287e-05
65,hotel-large,dhw_residence,dhw,0.0058
66,hotel-large,dhw_temp_kitchen,dhw,1.5e-07
67,hotel-large,dhw_temp_laundry,dhw,5.250000000000001e-07
68,hotel-large,dhw_temp_residence,dhw,2.266666666666667e-06
69,hotel-large,heating_setpoint,setpoint,0.000507
70,hotel-large,cooling_setpoint,setpoint,0.008740000000000001
71,hotel-large,heating_setpoint_setback,setpoint,7.571428571428571e-05
72,hotel-large,heating_setpoint_residence,setpoint,0.0
73,hotel-large,cooling_setpoint_residence,setpoint,0.0
74,hotel-large,oa_person_banquet,oa_person,0.0013833333333333336
75,hotel-large,oa_person_basement,oa_person,0.00015833333333333332
76,hotel-large,oa_person_cafeteria,oa_person,0.0006500000000000001
77,hotel-large,oa_person_corridor,oa_person,0.0
78,hotel-large,oa_person_dining,oa_person,0.00116
79,hotel-large,oa_person_kitchen,oa_person,6.666666666666667e-05
80,hotel-large,oa_person_laundry,oa_person,2.5e-05
81,hotel-large,oa_person_lobby,oa_person,0.001425
82,hotel-large,oa_person_retail,oa_person,7e-05
83,hotel-large,oa_person_residence,oa_person,0.0
84,hotel-large,oa_person_storage,oa_person,4.9999999999999996e-06
85,hotel-large,oa_person_mechanical,oa_person,2.166666666666667e-05
86,hotel-large,oa_area_banquet,oa_area,0.0001111111111111111
87,hotel-large,oa_area_basement,oa_area,0.00065
88,hotel-large,oa_area_cafeteria,oa_area,6.136363636363638e-05
89,hotel-large,oa_area_corridor,oa_area,0.0006638888888888889
90,hotel-large,oa_area_dining,oa_area,0.0001090909090909091
91,hotel-large,oa_area_kitchen,oa_area,3.5e-05
92,hotel-large,oa_area_laundry,oa_area,2.5e-05
93,hotel-large,oa_area_lobby,oa_area,0.00044166666666666665
94,hotel-large,oa_area_retail,oa_area,4.722222222222222e-05
95,hotel-large,oa_area_residence,oa_area,0.0
96,hotel-large,oa_area_storage,oa_area,2.5e-05
97,hotel-large,oa_area_mechanical,oa_area,4.1666666666666665e-05
98,hotel-large,pump_eff_dhw,dhw,0.000172
99,hotel-small,air_leakage,air_leakage,0.001201280380952381
100,hotel-small,lighting_density_corridor,lighting_density,0.00773780075
101,hotel-small,lighting_density_elevator,lighting_density,0.00010127937500000002
102,hotel-small,lighting_density_employeelounge,lighting_density,0.00028215639999999996
103,hotel-small,lighting_density_fitness,lighting_density,0.00021544280000000002
104,hotel-small,lighting_density_frontlounge,lighting_density,0.0010269168666666667
105,hotel-small,lighting_density_office,lighting_density,0.0012802354000000001
106,hotel-small,lighting_density_stairs,lighting_density,0.0021725930000000004
107,hotel-small,lighting_density_storage,lighting_density,0.0005764133750000001
108,hotel-small,lighting_density_residence,lighting_density,0.02024921693333333
109,hotel-small,lighting_density_laundry,lighting_density,0.0005869476250000001
110,hotel-small,lighting_density_mechanical,lighting_density,0.00017501986666666668
111,hotel-small,lighting_density_meeting,lighting_density,0.0005247602666666667
112,hotel-small,lighting_density_restroom,lighting_density,0.00019578512500000004
113,hotel-small,equipment_density_elevator,equipment_density,5.4330645e-05
114,hotel-small,equipment_density_employeelounge,equipment_density,0.00028018828000000003
115,hotel-small,equipment_density_fitness,equipment_density,0.00012941566666666666
116,hotel-small,equipment_density_frontlounge,equipment_density,0.0009712347333333335
117,hotel-small,equipment_density_office,equipment_density,0.0011856385333333334
118,hotel-small,equipment_density_residence,equipment_density,0.016109214266666668
119,hotel-small,equipment_density_laundry,equipment_density,0.0007313650666666669
120,hotel-small,equipment_density_meeting,equipment_density,0.0001815054666666667
121,hotel-small,equipment_density_restroom,equipment_density,0.00025894733333333336
122,hotel-small,gas_max_laundry,gas,0.1427095466666667
123,hotel-small,dhw_laundry,dhw,9.113726666666666e-05
