File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/calib1/HZ1_CZ1/instance-out.sql,354.74,296.03,272.93,264.36,284.93,293.25,321.65,329.92,289.67,272.67,283.88,335.71,101.02,92.29,100.28,92.69,89.80,81.28,79.92,78.66,78.03,85.20,88.24,96.95
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/calib1/HZ1_CZ2/instance-out.sql,332.58,260.07,271.03,277.47,288.07,314.86,359.08,350.85,325.91,282.53,286.36,317.10,98.55,89.94,97.32,89.20,85.54,76.60,74.82,73.67,73.58,81.26,85.09,94.24
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/calib1/HZ1_CZ3/instance-out.sql,470.29,321.71,311.16,307.11,335.50,372.92,436.17,402.78,350.20,317.94,346.83,387.86,109.98,101.20,108.69,97.15,89.51,76.30,71.42,69.08,70.26,81.06,88.99,102.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/calib1/HZ2_CZ1/instance-out.sql,432.81,325.37,319.84,292.46,293.60,324.55,369.46,350.07,318.46,297.20,359.97,393.42,111.83,102.81,112.01,103.31,99.37,88.93,86.34,84.19,83.29,91.43,95.64,106.31
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/calib1/HZ2_CZ2/instance-out.sql,499.03,329.23,321.06,288.02,319.44,355.16,412.52,387.43,330.66,312.75,353.91,473.14,118.03,109.19,118.56,107.79,101.25,87.97,83.13,80.00,79.80,89.83,96.71,110.28
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/calib1/HZ3_CZ1/instance-out.sql,441.72,445.28,387.93,336.10,335.46,359.97,399.77,383.38,322.09,378.49,401.64,503.24,121.80,112.60,123.33,114.13,109.86,98.05,94.60,91.46,89.92,98.42,103.13,115.06
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,314.20,261.63,231.94,221.09,237.43,244.43,268.14,276.35,243.38,229.56,244.79,294.26,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.95
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,294.79,224.63,228.08,229.95,238.26,260.38,296.69,291.21,270.88,236.30,247.74,276.93,98.55,89.94,97.32,89.20,85.54,76.60,74.82,73.67,73.58,81.26,85.08,94.24
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,424.71,286.73,266.02,250.57,272.61,302.97,355.02,327.85,285.69,260.20,302.66,343.76,109.98,101.20,108.69,97.15,89.51,76.29,71.41,69.08,70.27,81.04,88.99,102.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/apartment-highrise/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,387.42,289.16,282.55,247.40,241.31,266.06,303.10,287.65,262.31,245.75,317.72,349.36,111.83,102.81,112.01,103.31,99.37,88.92,86.35,84.17,83.29,91.43,95.65,106.30
