File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/air_leakage=0.15/instance-out.sql,4088.97,3024.61,1064.36,299.30,251.49,227.67,221.30,239.22,245.88,269.09,276.99,244.86,230.57,237.42,280.81,101.02,92.29,100.28,92.69,89.79,81.28,79.92,78.66,78.03,85.20,88.24,96.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/air_leakage=1.2/instance-out.sql,4293.97,3229.60,1064.37,361.66,295.38,253.49,226.26,233.49,240.18,265.30,274.48,239.22,230.37,271.66,338.10,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.95
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_coil_cop=2/instance-out.sql,4236.83,3172.47,1064.36,314.22,261.84,232.51,225.32,247.45,261.49,292.86,304.29,258.56,234.05,245.64,294.23,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.95
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,4070.80,3006.44,1064.36,314.20,261.50,231.60,218.64,231.65,234.59,253.89,260.25,234.65,226.96,244.28,294.23,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.95
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_setpoint=70/instance-out.sql,4123.11,3058.74,1064.36,314.97,261.93,231.69,220.07,235.98,242.80,266.39,274.59,241.78,228.34,245.14,295.07,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_setpoint=80/instance-out.sql,4142.49,3078.13,1064.36,314.39,261.95,232.59,222.04,238.69,245.84,269.64,277.90,244.80,230.67,245.18,294.45,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_setpoint_residence=70/instance-out.sql,4782.53,3718.17,1064.35,331.23,289.25,288.63,286.73,308.17,313.84,340.96,350.28,312.51,296.12,286.30,314.17,101.02,92.29,100.28,92.69,89.80,81.28,79.92,78.66,78.03,85.20,88.24,96.95
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_setpoint_residence=80/instance-out.sql,3782.11,2717.74,1064.37,308.35,253.61,215.40,192.87,197.28,195.80,213.81,221.62,198.15,198.54,232.19,290.13,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,4130.44,3066.08,1064.36,316.09,261.96,232.08,221.03,237.05,243.76,267.23,275.41,242.71,229.32,245.01,294.43,101.02,92.29,100.28,92.69,89.80,81.29,79.92,78.66,78.03,85.20,88.24,96.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,4130.67,3066.31,1064.36,313.67,261.51,231.90,221.07,237.42,244.41,268.12,276.33,243.37,229.54,244.75,294.21,101.02,92.29,100.28,92.69,89.80,81.28,79.92,78.66,78.03,85.20,88.24,96.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/dhw_residence=0.01/instance-out.sql,3266.06,3075.47,190.59,318.14,264.24,233.22,220.88,236.54,243.47,267.17,275.38,242.48,229.07,246.86,298.02,18.02,16.45,17.90,16.56,16.08,14.60,14.38,14.16,14.03,15.29,15.79,17.33
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-highrise/sensitivity/runs/dhw_residence=0.5/instance-out.sql,12126.34,3018.47,9107.87,281.63,240.78,226.66,226.04,245.96,252.98,276.90,285.18,251.76,235.61,230.38,264.58,865.05,790.37,858.92,793.40,768.41,695.16,683.31,672.15,667.11,728.59,755.28,830.11
