File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/air_leakage=0.15/instance-out.sql,1761.18,1338.02,423.15,134.39,112.78,102.18,97.71,104.96,107.42,117.18,120.53,106.85,101.38,106.34,126.29,40.11,36.63,39.82,36.82,35.70,32.35,31.83,31.32,31.07,33.89,35.09,38.51
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/air_leakage=1.2/instance-out.sql,1873.38,1450.22,423.16,165.24,135.02,117.27,102.15,103.19,105.23,115.70,119.64,104.76,103.02,124.21,154.82,40.10,36.63,39.82,36.82,35.70,32.36,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_coil_cop=2/instance-out.sql,1825.47,1402.32,423.15,141.70,117.94,105.10,99.60,108.14,113.48,126.62,131.44,112.08,102.75,110.50,132.97,40.11,36.63,39.82,36.82,35.70,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,1760.64,1337.49,423.15,141.70,117.82,104.76,97.06,102.05,102.99,111.13,113.86,102.90,100.20,110.04,132.97,40.11,36.63,39.82,36.82,35.70,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_setpoint=70/instance-out.sql,1785.30,1362.15,423.15,142.10,118.15,105.17,98.00,104.17,106.68,116.59,120.14,106.08,101.07,110.61,133.40,40.11,36.63,39.81,36.82,35.70,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_setpoint=80/instance-out.sql,1785.66,1362.51,423.15,141.71,117.90,104.93,98.11,104.44,107.01,117.00,120.47,106.46,101.28,110.21,132.97,40.11,36.63,39.82,36.82,35.70,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_setpoint_residence=70/instance-out.sql,2020.57,1597.41,423.15,146.90,127.05,125.32,122.27,130.50,132.64,143.80,147.63,132.01,125.73,124.67,138.89,40.11,36.63,39.81,36.82,35.71,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_setpoint_residence=80/instance-out.sql,1669.79,1246.63,423.16,140.18,115.77,100.21,88.62,90.49,90.37,98.31,101.61,91.04,90.76,106.70,132.56,40.11,36.63,39.82,36.82,35.71,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,1786.42,1363.27,423.15,142.36,118.00,105.01,98.13,104.39,106.95,116.94,120.44,106.38,101.24,110.36,133.06,40.11,36.63,39.82,36.82,35.71,32.35,31.83,31.32,31.07,33.89,35.08,38.52
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/apartment-midrise/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,1783.96,1360.80,423.15,141.50,117.81,104.87,97.98,104.27,106.82,116.78,120.27,106.24,101.12,110.20,132.96,40.11,36.63,39.82,36.82,35.70,32.35,31.83,31.32,31.07,33.89,35.08,38.52
