Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
oa_person_residence,0.374477985,0.442676927,2.36E-05,0.663158852,0.635657177,0.574511297,0.435413885,0.2478568,0.029713668,0.108810021,0.08506987,0.015943707,0.388660688,0.592610919,0.656645161,0.000249314,0,0,0,0.000280034,0.000309023,0,0,0,0,0,0
equipment_density_residence,0.356903125,0.429627382,2.36E-05,0.167591432,0.256960021,0.426619311,0.513124066,0.541392023,0.531442869,0.514995582,0.506199296,0.530568906,0.526645948,0.360159711,0.204381789,0.000249314,0.000272926,0.00025113,0,0,0,0,0,0,0,0,0
roof_base_cont_insul,0.305171753,0.365661468,2.36E-05,0.448556276,0.430061918,0.409214553,0.358156961,0.310116086,0.277487621,0.275482265,0.263041475,0.260739191,0.340524286,0.420603814,0.450085591,0,0,0,0,0.000280034,0,0,0,0,0,0,0
wall_base_cont_insul,0.270850705,0.328514715,2.36E-05,0.433565564,0.407449678,0.383425614,0.306306953,0.232699733,0.211326379,0.220648729,0.222374698,0.213106179,0.282088054,0.398214185,0.433668963,0.000249314,0,0,0,0.00055991,0.000309119,0,0,0,0.000294985,0.000285063,0
lighting_density_residence,0.248007102,0.30571991,2.36E-05,0.093927649,0.163446818,0.305539972,0.382410378,0.402412139,0.392682927,0.378262168,0.371061093,0.39208726,0.393453619,0.242975917,0.116003501,0.000249314,0,0,0,0.000280034,0,0,0,0,0,0,0
cooling_setpoint_residence,0.173604478,0.219592966,2.36E-05,0.045745405,0.088783943,0.20036706,0.275210599,0.306590038,0.318682147,0.316342142,0.311725259,0.310355276,0.278135688,0.144140531,0.045575635,0,0,0.00025113,0,0,0,0,0,0,0,0,0
heating_setpoint_residence,0.146874417,0.186730454,0,0.363585466,0.320307144,0.267343738,0.162973862,0.069823435,0.008993139,0.001283587,0.001578466,0.01455051,0.121554647,0.293685436,0.35975501,0,0,0.000502134,0,0.000280034,0,0,0,0,0,0,0
fan_rise,0.124070561,0.15798175,2.36E-05,0.023239729,0.064230522,0.14861461,0.211968585,0.230769231,0.225005835,0.214783421,0.209711323,0.224291751,0.222267838,0.10589701,0.032175503,0.000249314,0.000272926,0,0,0,0.000309023,0,0,0,0.000294985,0.000285063,0
oa_area_residence,0.120681525,0.15410143,2.36E-05,0.42522687,0.368082283,0.218872568,0.042481833,0.08016611,0.086061907,0.060913706,0.043882545,0.083273381,0.011974927,0.281345566,0.40607624,0.000249314,0.000272926,0.00025113,0,0.000280034,0.000309023,0,0,0,0,0,0
fan_eff,0.090169883,0.1162281,2.36E-05,0.012590935,0.04250227,0.101522843,0.158175956,0.178179637,0.174164848,0.165843113,0.161692851,0.173476279,0.16856027,0.071100719,0.018187217,0.000249314,0.000272926,0.00025113,0,0.000280034,0.000309023,0,0,0,0.000294985,0.000285063,0
equipment_density_elevator,0.069203256,0.089674312,0,0.07247949,0.078716491,0.097633671,0.102198226,0.099718719,0.09476863,0.0899389,0.087445545,0.095080796,0.102465907,0.09011653,0.077039493,0,0,0,0.000271592,0,0,0,0,0,0,0,0
ext_light_w,0.066462617,0.085656568,0,0.089019608,0.088300047,0.097212482,0.085521949,0.073396974,0.061389481,0.062439104,0.068605928,0.088189114,0.106875732,0.105859957,0.098605165,0,0,0,0,0,0,0,0,0,0,0,0
window_shgc,0.062850127,0.081087012,0,0.038247178,0.023466309,0.053848934,0.125366032,0.152859794,0.152025076,0.147822794,0.142899365,0.146693353,0.130970315,0.02295082,0.025947955,0,0,0,0,0.000280034,0,0,0,0,0,0,0
air_leakage,0.059891746,0.077367572,2.36E-05,0.186698136,0.164716338,0.128677411,0.043465492,0.016863567,0.020387265,0.012630142,0.007384054,0.019560131,0.015919239,0.143869254,0.184278517,0.000249314,0,0,0,0,0.000309023,0,0,0,0,0.000284981,0.000259605
lighting_density_corridor,0.046321837,0.060168923,0,0.018756101,0.03037111,0.055187638,0.078250751,0.086341375,0.083991131,0.080120384,0.078054567,0.083823792,0.082114736,0.043493604,0.021731069,0.000249314,0,0,0,0.000280034,0.000309023,0.000314169,0.000319183,0,0,0,0
window_u,0.043713643,0.057049956,0,0.136639536,0.116845342,0.069471716,0.022761456,0.005847953,0.00791824,0.014052508,0.015695251,0.007779939,0.011000779,0.094044444,0.131927091,0.000249314,0,0,0,0,0,0,0,0,0,0,0
wall_base_cavity_insul,0.040334693,0.052874019,0,0.099294284,0.085016121,0.060259344,0.033881008,0.023590334,0.024714473,0.028255844,0.028849352,0.023435294,0.025017304,0.074857091,0.098518463,0,0,0,0,0,0,0,0,0,0,0,0
cooling_coil_cop,0.035514142,0.046230532,0,0,0.001017467,0.003235014,0.025502008,0.056315887,0.092439196,0.122334544,0.133749239,0.081905782,0.024817518,0.004162896,0,0,0,0,0,0,0,0,0,0,0,0,0
heating_coil_eff,0.019721228,0.025676708,0,0.077200903,0.063834818,0.018305781,0.003557634,0,0,0,0,0,0.000592944,0.035219249,0.066239465,0,0,0,0,0,0,0,0,0,0,0,0
