key,dependencies,units,values,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,38
roof_base_cont_insul,,R-IP,0,20
wall_base_cavity_insul,,R-IP,0,19
wall_base_cont_insul,,R-IP,0,10
window_u,,U-IP,0.15,0.8
window_shgc,,,0.25,0.6
air_leakage,,CFM/ft2,0.15,1.2
lighting_density_corridor,,W/ft2,0.4,1.2
lighting_density_elevator,,W/ft2,0.4,1.2
lighting_density_employeelounge,,W/ft2,0.5,2
lighting_density_fitness,,W/ft2,0.5,2
lighting_density_frontlounge,,W/ft2,0.5,2
lighting_density_office,,W/ft2,0.5,2
lighting_density_stairs,,W/ft2,0.4,1.2
lighting_density_storage,,W/ft2,0.4,1.2
lighting_density_residence,,W/ft2,0.5,2
lighting_density_laundry,,W/ft2,0.4,1.2
lighting_density_mechanical,,W/ft2,0.5,2
lighting_density_meeting,,W/ft2,0.5,2
lighting_density_restroom,,W/ft2,0.4,1.2
equipment_density_elevator,,W/ft2,150,250
equipment_density_employeelounge,,W/ft2,5,10
equipment_density_fitness,,W/ft2,0.5,2
equipment_density_frontlounge,,W/ft2,0.5,2
equipment_density_office,,W/ft2,0.5,2
equipment_density_residence,,W/ft2,0.5,2
equipment_density_laundry,,W/ft2,0.5,2
equipment_density_meeting,,W/ft2,1,2.5
equipment_density_restroom,,W/ft2,0.5,2
gas_max_laundry,,W,10000,25000
dhw_laundry,,GPM,0.5,2
dhw_residence,,GPM,0.01,0.05
heating_setpoint,,F,65,75
cooling_setpoint,,F,70,80
heating_setpoint_stairsstorage,,F,55,70
oa_area_corridor,,CFM/ft2,0,0.18
oa_area_lounge,,CFM/ft2,0,0.18
oa_area_fitness,,CFM/ft2,0,0.18
oa_area_office,,CFM/ft2,0,0.18
oa_area_residence,,CFM/ft2,0,0.18
oa_area_laundry,,CFM/ft2,0,0.18
oa_area_mechanical,,CFM/ft2,0,0.18
oa_area_meeting,,CFM/ft2,0,0.18
oa_area_restroom,,CFM/ft2,0,0.18
oa_area_storage,,CFM/ft2,0,0.18
oa_person_corridor,,CFM,0,30
oa_person_lounge,,CFM,0,30
oa_person_fitness,,CFM,0,30
oa_person_office,,CFM,0,30
oa_person_residence,,CFM,0,30
oa_person_laundry,,CFM,0,30
oa_person_mechanical,,CFM,0,30
oa_person_meeting,,CFM,0,30
oa_person_restroom,,CFM,0,30
oa_person_storage,,CFM,0,30
fan_eff_psz,,,0.4,0.7
fan_eff_psz_frontlounge,,,0.4,0.7
fan_eff_psz_laundry,,,0.4,0.7
fan_rise_psz,,in H2O,2,4
heating_coil_eff_psz,,,0.95,1
heating_coil_eff_psz_laundry,,,0.95,1
cooling_coil_cop_psz,,,2,4
cooling_coil_cop_psz_laundry,,,2,4
ext_light_w,,W,2000,20000
water_heater_eff,,,0.75,0.95
