key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
zone_mult_fix,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
air_leakage_basement,,,
infiltration_schedule,,,
upstream_duct_leakage,,,
downstream_duct_leakage,,,
lighting_density_target,,,
lighting_density_banquet,,,
lighting_density_basement,,,
lighting_density_cafeteria,,,
lighting_density_corridor,,,
lighting_density_dining,,,
lighting_density_kitchen,,,
lighting_density_laundry,,,
lighting_density_lobby,,,
lighting_density_retail,,,
lighting_density_residence,,,
lighting_density_storage,,,
lighting_density_mechanical,,,
lighting_density_elevator,,,
lighting_schedule,,,
lighting_schedule_kitchen,,,
lighting_schedule_laundry,,,
lighting_schedule_residence,,,
case_lighting_schedule,,,
equipment_density_banquet,,,
equipment_density_basement,,,
equipment_density_cafeteria,,,
equipment_density_corridor,,,
equipment_density_dining,,,
equipment_density_kitchen,,,
equipment_fraction_latent_kitchen,,,
equipment_fraction_radiant_kitchen,,,
equipment_fraction_lost_kitchen,,,
equipment_density_laundry,,,
equipment_density_lobby,,,
equipment_density_retail,,,
equipment_density_residence,,,
