key,dependencies,units,values,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,38
roof_base_cont_insul,,R-IP,0,20
wall_base_cavity_insul,,R-IP,0,19
wall_base_cont_insul,,R-IP,0,10
window_u,,U-IP,0.15,0.8
window_shgc,,,0.25,0.6
air_leakage,,CFM/ft2,0.15,1.2
air_leakage_basement,,CFM/ft2,0.15,1.2
lighting_density_target,,W/ft2,0.4,1.2
equipment_density_banquet,,W/ft2,3,9
equipment_density_basement,,W/ft2,0.2,2
equipment_density_cafeteria,,W/ft2,0.2,2
equipment_density_corridor,,W/ft2,0,2
equipment_density_dining,,W/ft2,3,9
equipment_density_kitchen,,W/ft2,20,65
equipment_density_laundry,,W/ft2,0.5,2
equipment_density_lobby,,W/ft2,0,2
equipment_density_retail,,W/ft2,0.2,3
equipment_density_residence,,W/ft2,0.5,2
equipment_density_residence2,,W/ft2,0.5,2
equipment_density_storage,,W/ft2,0.2,2
equipment_density_mechanical,,W/ft2,0.2,2
refrigerator_power,,W,0,120000
rangeoven_power,,W,0,60000
gas_max_kitchen,,W,100000,300000
gas_max_laundry,,W,10000,25000
dhw_cafeteria,,GPM,0,10
dhw_kitchen,,GPM,1,4
dhw_laundry,,GPM,0.5,4
dhw_residence,,GPM,0.01,0.05
dhw_temp_kitchen,,F,110,130
dhw_temp_laundry,,F,120,160
dhw_temp_residence,,F,100,130
heating_setpoint,,F,65,75
cooling_setpoint,,F,70,80
heating_setpoint_setback,,F,58,65
heating_setpoint_residence,,F,65,75
cooling_setpoint_residence,,F,73,78
oa_person_banquet,,CFM,2,8
oa_person_basement,,CFM,2,8
oa_person_cafeteria,,CFM,4,11
oa_person_corridor,,CFM,0,30
oa_person_dining,,CFM,4,9
oa_person_kitchen,,CFM,4,10
oa_person_laundry,,CFM,0,10
oa_person_lobby,,CFM,0,10
oa_person_retail,,CFM,0,10
oa_person_residence,,CFM,0,30
oa_person_storage,,CFM,0,30
oa_person_mechanical,,CFM,0,30
oa_area_banquet,,CFM/ft2,0.02,0.2
oa_area_basement,,CFM/ft2,0.02,0.2
oa_area_cafeteria,,CFM/ft2,0.08,0.3
oa_area_corridor,,CFM/ft2,0,0.18
oa_area_dining,,CFM/ft2,0.08,0.3
oa_area_kitchen,,CFM/ft2,0.1,0.2
oa_area_laundry,,CFM/ft2,0,0.18
oa_area_lobby,,CFM/ft2,0.02,0.2
oa_area_retail,,CFM/ft2,0,0.18
oa_area_residence,,CFM/ft2,0,0.18
oa_area_storage,,CFM/ft2,0,0.18
oa_area_mechanical,,CFM/ft2,0,0.18
fan_eff_ptac,,,0.5,0.8
fan_rise_ptac,,in H2O,1,4
exhaust_fan_eff_dining,,,0.5,0.8
exhaust_fan_eff_kitchen,,,0.5,0.8
exhaust_fan_eff_laundry,,,0.5,0.8
ext_light_w,,W,2000,20000
ext_equipment_w,,W,90000,250000
fan_eff_supply,,,0.5,0.8
cooling_coil_cop,,,2.5,4
heating_coil_eff,,,0.5,0.95
heating_coil_cop,,,2.5,4
chiller_cop,,,4,7.5
supply_hw_temp,,F,170,190
pump_eff_hw,,,0.7,0.95
boiler_eff,,,0.7,0.95
water_heater_eff,,,0.75,0.95
supply_dhw_temp,,F,130,150
pump_eff_dhw,,,0.7,0.95
