File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/air_leakage=0.15/instance-out.sql,16211.31,5639.10,10572.20,467.19,421.88,462.55,452.40,475.39,473.85,505.08,515.55,476.19,469.86,452.27,466.90,1059.44,942.84,983.30,891.60,858.88,776.77,752.76,736.93,764.68,865.52,918.01,1021.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/air_leakage=1.2/instance-out.sql,16493.60,5636.92,10856.68,467.04,421.72,462.33,452.18,475.18,473.66,504.91,515.42,476.00,469.67,452.09,466.74,1108.39,980.86,1013.62,913.22,875.00,786.55,758.93,741.21,775.81,885.80,950.38,1066.91
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/air_leakage_basement=0.15/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/air_leakage_basement=1.2/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/boiler_eff=0.7/instance-out.sql,16594.57,5638.30,10956.27,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1110.28,984.92,1020.75,922.16,885.38,798.13,770.75,753.27,787.15,896.79,957.02,1069.65
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/boiler_eff=0.95/instance-out.sql,15777.16,5638.30,10138.86,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1008.83,899.51,942.13,856.69,827.04,749.13,728.02,713.70,736.06,828.71,876.08,972.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/chiller_cop=4/instance-out.sql,16358.04,5720.35,10637.69,468.49,423.56,463.65,456.13,482.35,485.63,522.50,535.97,487.21,473.09,453.84,467.92,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/chiller_cop=7.5/instance-out.sql,16217.64,5579.95,10637.69,466.17,420.60,461.67,449.64,470.32,465.33,492.51,500.84,468.24,467.47,451.06,466.09,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/cooling_coil_cop=2.5/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/cooling_setpoint=70/instance-out.sql,18696.72,5940.60,12756.11,492.83,445.38,483.67,473.71,499.49,500.71,535.99,547.95,503.53,491.23,474.25,491.88,1247.78,1109.94,1185.97,1084.66,1049.65,950.38,913.08,878.71,938.52,1067.44,1113.75,1216.23
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/cooling_setpoint=80/instance-out.sql,14783.08,5421.38,9361.70,448.89,405.02,447.19,436.64,457.73,453.82,483.06,493.11,456.55,453.77,436.18,449.42,974.12,864.69,873.02,782.07,746.26,672.63,656.71,646.83,657.93,742.74,812.66,932.06
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/cooling_setpoint_residence=73/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/cooling_setpoint_residence=78/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/dhw_cafeteria=0/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/dhw_cafeteria=10/instance-out.sql,16275.99,5638.30,10637.69,467.14,421.83,462.50,452.34,475.32,473.77,504.98,515.44,476.12,469.81,452.22,466.85,1070.74,951.63,990.11,896.64,862.64,779.04,754.10,737.85,767.24,870.26,925.47,1031.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/dhw_kitchen=1/instance-out.sql,16114.68,5638.01,10476.67,467.10,421.80,462.48,452.32,475.30,473.75,504.95,515.42,476.10,469.78,452.19,466.82,1056.00,938.08,974.94,882.94,849.28,766.14,741.96,725.55,754.89,857.13,912.23,1017.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/hotel-large/sensitivity/runs/dhw_kitchen=4/instance-out.sql,16518.08,5638.74,10879.35,467.18,421.87,462.53,452.37,475.35,473.80,505.01,515.47,476.16,469.84,452.26,466.90,1092.95,972.12,1012.32,917.38,883.23,797.69,772.94,756.28,785.44,889.93,945.40,1053.68
