Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
dhw_residence,0.470330,0.002320,0.605900,0.002460,0.002510,0.002480,0.002430,0.002330,0.002230,0.002100,0.002070,0.002160,0.002320,0.002360,0.002440,0.000730,0.583310,0.592050,0.607520,0.614780,0.619460,0.622450,0.628320,0.631730,0.614470,0.600580,0.589820,0.582870
heating_setpoint,0.210140,0.005070,0.300850,0.014070,0.013610,0.002590,0.001460,0.001030,0.002280,0.003500,0.004600,0.001640,0.000110,0.005700,0.011110,0.017090,0.266300,0.266570,0.295070,0.305170,0.314920,0.321010,0.316110,0.309440,0.327720,0.327790,0.303230,0.276260
cooling_setpoint,0.209320,0.087400,0.266100,0.089160,0.090620,0.075420,0.078250,0.083610,0.093650,0.098750,0.100080,0.093300,0.076260,0.080270,0.086320,-0.023350,0.219320,0.220960,0.263880,0.278970,0.289040,0.292250,0.280770,0.263890,0.298970,0.304190,0.270340,0.233650
dhw_temp_residence,0.184640,0.000680,0.264960,0.000640,0.000640,0.000650,0.000690,0.000690,0.000700,0.000690,0.000680,0.000690,0.000700,0.000690,0.000660,-0.000070,0.229850,0.232960,0.245770,0.259420,0.275290,0.291600,0.306330,0.312110,0.294790,0.273100,0.252710,0.237120
gas_max_kitchen,0.059370,0.004750,0.086730,0.004650,0.004680,0.003730,0.004140,0.004510,0.005280,0.006000,0.006430,0.005130,0.003840,0.003990,0.004290,-0.003480,0.072040,0.073230,0.079570,0.085200,0.091610,0.097800,0.103650,0.105600,0.099090,0.090860,0.082020,0.074910
boiler_eff,0.049260,0.000000,0.074610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.091370,0.086720,0.077020,0.071000,0.065890,0.061390,0.055440,0.052530,0.064910,0.075920,0.084580,0.090380
dhw_laundry,0.032870,0.000990,0.049430,0.001240,0.001210,0.000970,0.000990,0.001010,0.000950,0.000810,0.000740,0.001010,0.001020,0.000990,0.001070,0.000760,0.044730,0.045850,0.048390,0.049710,0.051440,0.053250,0.054530,0.055200,0.052400,0.049820,0.047260,0.045360
equipment_density_lobby,0.003160,0.068770,0.042290,0.069320,0.069340,0.070060,0.069570,0.069250,0.068460,0.067540,0.067170,0.067510,0.069030,0.069330,0.069100,0.003720,0.038630,0.039970,0.041950,0.042930,0.044560,0.045280,0.042120,0.038630,0.045750,0.045360,0.043050,0.040700
dhw_kitchen,0.024420,0.000130,0.037010,0.000170,0.000170,0.000110,0.000110,0.000110,0.000110,0.000120,0.000100,0.000130,0.000130,0.000150,0.000170,0.000130,0.033810,0.035020,0.036930,0.037540,0.038440,0.039550,0.040080,0.040630,0.038900,0.036860,0.035090,0.034300
lighting_density_target,0.107840,0.248220,0.028770,0.252870,0.253340,0.251150,0.249820,0.248840,0.246850,0.242920,0.241040,0.244620,0.247940,0.249980,0.251110,0.020020,0.003490,0.010990,0.027580,0.034130,0.040250,0.042090,0.042860,0.041300,0.043540,0.042120,0.025710,0.009070
gas_max_laundry,0.021270,0.008850,0.028010,0.009330,0.009370,0.007240,0.007760,0.008440,0.009630,0.010320,0.010620,0.009410,0.007540,0.007810,0.008420,-0.003200,0.019360,0.020830,0.026140,0.028890,0.031760,0.033370,0.034200,0.033750,0.034220,0.032310,0.026730,0.022000
air_leakage,0.017120,0.000390,0.026200,0.000320,0.000380,0.000480,0.000490,0.000440,0.000400,0.000340,0.000250,0.000400,0.000400,0.000400,0.000340,0.000080,0.044160,0.038760,0.029910,0.023670,0.018420,0.012430,0.008130,0.005770,0.014350,0.022890,0.034060,0.042590
heating_setpoint_setback,0.015290,0.000530,0.022960,0.000600,0.000730,0.000970,0.000750,0.000270,0.000210,0.000220,0.000210,0.000250,0.000260,0.000860,0.001160,0.001320,0.019970,0.018700,0.022710,0.024310,0.025470,0.023810,0.024390,0.023420,0.025330,0.026710,0.023540,0.019460
oa_area_basement,0.006530,0.002340,0.011190,0.008230,0.007860,0.001620,0.000600,0.000150,0.000210,0.000360,0.000430,0.000190,0.000040,0.003140,0.006160,0.013600,0.034350,0.030640,0.011880,0.004940,0.000280,0.000820,0.001920,0.003390,0.000330,0.000080,0.012860,0.027000
oa_area_corridor,0.005970,0.002390,0.010360,0.008300,0.007870,0.001730,0.000690,0.000170,0.000210,0.000360,0.000430,0.000190,0.000040,0.003180,0.006450,0.013980,0.032430,0.029260,0.010580,0.004220,0.000140,0.000820,0.001910,0.003260,0.000310,0.000030,0.011600,0.025170
equipment_density_basement,0.044150,0.103930,0.009500,0.105480,0.105460,0.103820,0.103660,0.103800,0.104150,0.103710,0.103560,0.102980,0.102520,0.103610,0.104550,0.002760,0.000910,0.000950,0.008340,0.011740,0.014390,0.015140,0.014820,0.013410,0.015060,0.015260,0.008730,0.001940
dhw_temp_kitchen,0.005880,0.000030,0.008960,0.000040,0.000050,0.000040,0.000040,0.000020,0.000020,0.000020,0.000040,0.000020,0.000020,0.000040,0.000040,0.000030,0.007440,0.007550,0.008570,0.008570,0.009450,0.009990,0.010500,0.011070,0.010410,0.009230,0.008390,0.007940
dhw_temp_laundry,0.005650,0.000210,0.008530,0.000280,0.000260,0.000220,0.000220,0.000210,0.000210,0.000180,0.000160,0.000210,0.000230,0.000220,0.000210,0.000160,0.007250,0.007090,0.008230,0.008000,0.008860,0.009720,0.009830,0.010410,0.009890,0.009000,0.008100,0.007450
oa_person_lobby,0.004490,0.002850,0.008370,0.009100,0.008710,0.002700,0.001150,0.000190,0.000210,0.000360,0.000470,0.000210,0.000040,0.003950,0.008150,0.016430,0.028880,0.027140,0.006990,0.002040,0.000200,0.000820,0.001850,0.003310,0.000310,0.000010,0.007730,0.020170
