File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/air_leakage=0.15/instance-out.sql,3352.58,2760.17,592.41,231.95,208.60,227.02,223.05,233.78,231.10,245.88,250.21,230.96,229.90,219.31,228.42,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/air_leakage=1.2/instance-out.sql,3387.84,2795.43,592.41,250.76,220.58,226.53,220.89,231.36,229.19,244.67,249.56,228.88,227.40,223.26,242.34,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/cooling_coil_cop_psz=2/instance-out.sql,3479.05,2886.64,592.41,237.49,214.00,232.31,231.62,245.86,246.47,265.51,271.82,245.41,238.79,224.32,233.04,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/cooling_coil_cop_psz=4/instance-out.sql,3284.07,2691.66,592.41,233.87,208.52,223.00,217.05,225.81,221.49,234.10,237.51,221.81,223.67,216.26,228.56,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/cooling_coil_cop_psz_laundry=2/instance-out.sql,3355.27,2762.87,592.41,235.19,210.52,226.40,222.37,233.13,230.61,245.57,250.04,230.43,229.19,219.20,230.20,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/cooling_coil_cop_psz_laundry=4/instance-out.sql,3355.27,2762.87,592.41,235.19,210.52,226.40,222.37,233.13,230.61,245.57,250.04,230.43,229.19,219.20,230.20,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/cooling_setpoint=70/instance-out.sql,3878.82,3286.42,592.41,273.98,247.77,271.52,266.69,279.23,275.18,291.92,296.97,275.07,274.98,261.75,271.35,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/cooling_setpoint=80/instance-out.sql,3043.10,2450.70,592.41,219.98,193.57,200.44,193.66,202.04,199.98,213.47,217.50,200.07,199.63,196.75,213.62,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/dhw_laundry=0.5/instance-out.sql,3257.50,2761.28,496.21,235.06,210.40,226.27,222.24,233.00,230.48,245.44,249.90,230.30,229.06,219.08,230.07,44.60,40.53,44.46,41.97,42.02,39.38,39.69,39.44,38.58,40.94,40.96,43.65
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/dhw_laundry=2/instance-out.sql,3492.15,2765.06,727.08,235.38,210.69,226.59,222.55,233.32,230.79,245.77,250.24,230.61,229.37,219.38,230.38,65.55,59.60,65.35,61.61,61.55,57.55,57.96,57.56,56.33,59.89,60.04,64.09
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/dhw_residence=0.01/instance-out.sql,3209.51,2761.78,447.74,235.36,210.59,226.25,222.20,232.95,230.44,245.42,249.90,230.28,229.01,219.11,230.27,39.74,36.06,39.63,37.64,37.93,35.81,36.33,36.14,35.27,37.19,36.93,39.07
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/dhw_residence=0.05/instance-out.sql,3516.39,2764.10,752.30,235.02,210.45,226.57,222.56,233.33,230.80,245.75,250.20,230.60,229.38,219.32,230.13,68.35,62.19,68.13,64.00,63.66,59.25,59.45,58.97,57.82,61.68,62.18,66.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_elevator=150/instance-out.sql,3278.65,2686.24,592.41,229.28,205.00,219.91,216.01,226.48,224.10,238.76,243.21,223.93,222.61,212.95,223.98,53.33,48.48,53.16,50.16,50.15,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_elevator=250/instance-out.sql,3432.97,2840.57,592.40,241.30,216.18,232.95,228.79,239.84,237.19,252.46,256.95,237.00,235.85,225.53,236.53,53.33,48.47,53.17,50.15,50.16,46.95,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_employeelounge=10/instance-out.sql,3377.68,2785.27,592.41,236.90,212.10,228.32,224.25,235.08,232.51,247.55,252.02,232.33,231.13,221.05,232.02,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_employeelounge=5/instance-out.sql,3338.66,2746.25,592.41,234.00,209.41,225.00,220.96,231.64,229.16,244.06,248.53,228.98,227.71,217.85,228.95,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_fitness=0.5/instance-out.sql,3353.32,2760.91,592.41,235.13,210.45,226.32,222.23,232.93,230.35,245.27,249.73,230.19,229.05,219.12,230.14,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_fitness=2/instance-out.sql,3358.68,2766.28,592.41,235.29,210.64,226.57,222.62,233.49,231.05,246.08,250.57,230.85,229.46,219.36,230.29,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_frontlounge=0.5/instance-out.sql,3331.20,2738.79,592.41,234.38,209.48,224.85,220.41,230.72,227.82,242.45,246.88,227.60,227.04,217.88,229.27,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_frontlounge=2/instance-out.sql,3371.69,2779.28,592.41,235.87,211.30,227.59,223.73,234.74,232.40,247.51,251.99,232.24,230.69,220.24,230.96,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_laundry=0.5/instance-out.sql,3324.97,2732.56,592.41,232.64,208.21,223.84,219.88,230.55,228.11,242.98,247.44,227.93,226.62,216.72,227.64,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_laundry=2/instance-out.sql,3355.27,2762.87,592.41,235.19,210.52,226.40,222.37,233.13,230.61,245.57,250.04,230.43,229.19,219.20,230.20,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_meeting=1/instance-out.sql,3354.30,2761.89,592.41,235.15,210.48,226.34,222.29,233.04,230.50,245.45,249.92,230.32,229.10,219.15,230.16,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_meeting=2.5/instance-out.sql,3361.83,2769.43,592.41,235.47,210.84,226.88,222.92,233.77,231.32,246.35,250.82,231.15,229.79,219.62,230.52,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_office=0.5/instance-out.sql,3333.40,2740.99,592.41,234.21,209.47,224.50,220.35,230.96,228.46,243.37,247.80,228.32,227.08,217.44,229.03,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_office=2/instance-out.sql,3383.03,2790.62,592.41,236.97,212.29,228.82,224.75,235.64,233.07,248.09,252.61,232.86,231.67,221.51,232.34,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_residence=0.5/instance-out.sql,2957.92,2365.52,592.41,218.19,189.62,190.58,184.88,193.63,192.05,205.55,209.99,191.94,190.24,189.31,209.54,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_residence=2/instance-out.sql,3711.66,3119.25,592.41,258.93,234.07,257.70,253.20,265.16,261.73,277.86,282.35,261.51,261.11,248.64,257.00,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_restroom=0.5/instance-out.sql,3351.83,2759.43,592.41,234.99,210.32,226.12,222.07,232.81,230.29,245.24,249.71,230.11,228.88,218.94,229.96,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/equipment_density_restroom=2/instance-out.sql,3362.59,2770.19,592.41,235.69,211.01,227.03,222.99,233.79,231.25,246.24,250.72,231.08,229.84,219.80,230.75,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/ext_light_w=2000/instance-out.sql,3318.87,2726.47,592.41,231.24,207.26,223.19,219.76,230.77,228.60,243.34,247.50,227.50,225.75,215.50,226.06,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/ext_light_w=20000/instance-out.sql,3601.27,3008.87,592.41,261.89,232.54,248.14,240.04,249.10,244.16,260.64,267.20,250.24,252.45,244.27,258.20,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/fan_eff_psz=0.4/instance-out.sql,3672.06,3079.66,592.41,255.46,230.73,253.61,249.55,261.85,259.13,275.31,279.83,258.89,257.57,244.75,252.97,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/hotel-small/sensitivity/runs/fan_eff_psz=0.7/instance-out.sql,3148.12,2555.72,592.41,224.07,198.46,208.25,203.93,213.60,211.16,225.18,229.59,210.99,209.99,203.08,217.44,53.34,48.46,53.17,50.15,50.16,46.94,47.30,46.99,45.99,48.82,48.91,52.17
