Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
dhw_residence,0.087271321,0.000839333,0.404838495,0.001444596,0.000664799,0.001412367,0.001617541,0.001628595,0.001559792,0.001342828,0.001199041,0.001387684,0.001613044,0.000957505,0.000607982,0.418580834,0.420164014,0.418317922,0.411875,0.404178448,0.395611814,0.388898234,0.387146006,0.390003459,0.397049287,0.406079125,0.413451434
dhw_laundry,0.067193563,0.001367059,0.317530396,0.001359504,0.00137643,0.001412242,0.001392945,0.001371507,0.001343212,0.001342719,0.001358696,0.001344261,0.001351528,0.00136749,0.001345603,0.319603356,0.319966443,0.319663351,0.318779419,0.317303006,0.315725456,0.315217391,0.314801946,0.315107403,0.316413425,0.317788141,0.31892651
gas_max_laundry,0.062902143,0.021406432,0.236852778,0.020632448,0.020977376,0.022031824,0.021898785,0.02173913,0.021379814,0.020967742,0.020792903,0.021353383,0.021938159,0.022033592,0.021374505,0.224815312,0.223701239,0.225589226,0.230687077,0.237495566,0.244666793,0.250140108,0.251597144,0.249182849,0.243233424,0.235936647,0.229280822
water_heater_eff,0.026717128,0,0.145923163,0,0,0,0,0,0,0,0,0,0,0,0,0.149767109,0.150039432,0.14953271,0.147922226,0.145745899,0.143381603,0.141757797,0.141284404,0.142053739,0.143921569,0.146293761,0.148249954
equipment_density_elevator,0.04495233,0.054330645,1.69E-05,0.04981351,0.051716162,0.055977678,0.055859085,0.055703803,0.055187824,0.054266022,0.053473438,0.055147679,0.056137375,0.055779719,0.053058809,0,0.000206271,0.000188076,0.000199362,0.000199362,0.000212993,0,0,0,0,0,0
lighting_density_residence,0.261527526,0.303738254,0,0.257216546,0.276442308,0.318599462,0.320016048,0.317973971,0.313847753,0.307848132,0.303775241,0.313755444,0.321051267,0.310110219,0.280432197,0,0,0,0,0,0,0,0,0,0,0,0
cooling_setpoint,0.215457278,0.254294947,0,0.197094678,0.218751261,0.261785504,0.273838539,0.276438778,0.273275674,0.26873801,0.267602788,0.272657869,0.274019929,0.248328558,0.21275106,0,0,0,0,0,0,0,0,0,0,0,0
equipment_density_residence,0.203073557,0.241638214,0,0.157339822,0.189900457,0.260457897,0.269826224,0.269761653,0.266228556,0.260238969,0.25627767,0.266031892,0.271418176,0.238618082,0.184669261,0,0,0,0,0,0,0,0,0,0,0,0
roof_base_cont_insul,0.204330732,0.237798759,0,0.358656953,0.319946843,0.249311158,0.205225483,0.180239521,0.168406981,0.173189824,0.165953607,0.154191176,0.185759505,0.276471949,0.346149461,0,0,0,0,0,0.000212993,0,0,0,0,0,0
fan_rise_psz,0.189707889,0.223466825,0,0.174554372,0.192909575,0.232443846,0.236181462,0.237769873,0.238369817,0.234360317,0.231265082,0.23808845,0.238674587,0.225128321,0.195550007,0,0,0,0,0,0,0,0,0,0,0,0
fan_eff_psz,0.142682854,0.17012917,0,0.12287638,0.139860443,0.178857301,0.182809056,0.184265801,0.185119438,0.182085649,0.179537576,0.185020665,0.184726482,0.170255363,0.140451437,0,0,0,0,0,0,0,0,0,0,0,0
oa_person_residence,0.129898589,0.153090929,0,0.398375864,0.342950209,0.217589337,0.095275777,0.015209922,0.078733109,0.067960383,0.052767308,0.07587001,0.043848965,0.25622482,0.36667662,0,0,0,0,0,0,0,0,0,0,0,0
wall_base_cont_insul,0.125686448,0.14873986,0,0.273477038,0.233729984,0.134939482,0.09805995,0.088062162,0.092223803,0.102166728,0.104715997,0.091588859,0.085030611,0.172643617,0.252626411,0,0,0,0,0,0.000212993,0,0,0,0,0,0
heating_setpoint,0.085007624,0.101936624,0,0.197431368,0.172494661,0.125991544,0.093557895,0.067792452,0.047032709,0.035782291,0.031976858,0.047417585,0.077996038,0.132634965,0.179942455,0,0,0,0,0,0,0,0,0,0,0,0
ext_light_w,0.078416781,0.093855833,0,0.117033869,0.10871248,0.100548078,0.084485919,0.073584906,0.063728702,0.066375077,0.073727545,0.090872762,0.105763518,0.117779506,0.124477149,0,0,0,0,0,0,0,0,0,0,0,0
oa_person_lounge,0.061586179,0.07387257,0,0.148829618,0.13303118,0.102192404,0.074524842,0.048934266,0.022232535,0.009560921,0.00657556,0.023604788,0.061448636,0.106099815,0.138454497,0,0,0,0,0,0,0,0,0,0,0,0
