File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,1868.74,1677.79,1870.73,1752.82,1878.67,1903.50,1990.22,2170.84,1857.28,1820.63,1794.69,1843.28,1696.71,1175.97,881.96,513.40,394.20,299.20,249.49,265.92,327.24,580.90,1152.42,1509.34
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,1870.06,1658.32,1876.23,1801.46,1911.34,2028.94,2173.49,2270.60,2046.68,1883.53,1794.31,1829.56,1500.54,959.08,709.63,450.02,374.32,267.17,213.46,245.39,275.47,597.06,1137.96,1365.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,1894.64,1699.43,1909.29,1839.59,1971.94,2151.66,2319.39,2314.96,1999.60,1905.65,1831.92,1865.45,2268.30,1237.75,1025.25,454.76,356.67,253.60,203.33,242.80,281.08,511.53,1283.91,1642.82
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,1881.55,1690.87,1914.57,1813.27,1915.13,2031.29,2139.86,2181.27,1974.27,1923.77,1834.67,1868.65,1851.44,1236.70,1069.12,594.82,419.79,282.86,237.19,276.69,314.82,596.40,1496.05,1633.96
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,1885.43,1724.27,1924.08,1817.32,1979.21,2147.34,2266.49,2303.43,1995.20,1942.60,1850.37,1871.68,2207.96,1235.29,1048.51,524.33,367.59,256.24,215.78,244.63,324.02,587.26,1338.94,1885.35
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,1912.50,1715.82,1958.62,1799.37,1966.66,2096.81,2197.53,2251.63,1883.13,1954.65,1851.06,1888.78,2049.25,1997.09,1613.38,1171.60,572.70,368.87,249.57,287.49,512.03,1118.93,1616.21,2264.51
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ1_CZ1/instance-out.sql,1540.60,1403.93,1582.96,1486.38,1618.95,1650.52,1692.43,1851.22,1604.16,1542.24,1488.20,1506.96,286.60,179.54,115.75,71.34,57.77,44.39,30.26,31.91,42.23,76.92,161.32,248.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ1_CZ2/instance-out.sql,1550.19,1378.60,1600.31,1533.35,1626.58,1725.79,1793.49,1903.27,1713.14,1592.25,1490.66,1503.33,251.53,137.92,108.12,70.75,63.19,42.48,27.31,31.86,35.75,83.22,159.34,218.60
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ1_CZ3/instance-out.sql,1553.51,1402.76,1605.89,1555.02,1674.89,1809.48,1936.54,1994.13,1663.66,1602.97,1515.30,1528.17,413.77,183.91,141.20,73.34,64.60,38.75,24.28,33.72,43.54,75.39,188.68,250.00
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/calibration/runs/default/HZ2_CZ1/instance-out.sql,1548.40,1397.29,1614.95,1523.07,1620.07,1716.06,1776.45,1828.21,1647.20,1598.01,1511.74,1534.52,330.53,183.71,142.48,82.95,69.07,41.52,30.45,39.44,42.53,80.10,194.40,230.37
