File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/air_leakage=0.15/instance-out.sql,20097.07,18997.41,1099.66,1542.16,1405.91,1584.86,1489.35,1622.23,1653.60,1695.55,1854.07,1607.17,1544.44,1489.51,1508.57,212.40,135.36,96.98,65.05,56.33,44.02,30.14,31.75,41.54,68.20,126.36,191.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/air_leakage=1/instance-out.sql,20955.46,18914.77,2040.69,1540.25,1401.94,1579.67,1481.03,1611.29,1642.06,1685.21,1844.97,1597.90,1538.64,1486.65,1505.16,467.85,294.88,188.51,103.13,66.61,46.41,31.09,32.44,47.04,111.48,258.72,392.54
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/boiler_eff=0.7/instance-out.sql,20442.43,18968.54,1473.88,1540.60,1403.93,1582.96,1486.38,1618.95,1650.52,1692.43,1851.22,1604.16,1542.24,1488.20,1506.96,316.88,197.79,126.37,77.20,62.07,47.31,31.75,33.45,45.09,83.58,177.55,274.84
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/boiler_eff=0.95/instance-out.sql,20116.32,18968.54,1147.78,1540.60,1403.93,1582.96,1486.38,1618.95,1650.52,1692.43,1851.22,1604.16,1542.24,1488.20,1506.96,239.18,150.97,99.13,62.15,51.04,39.81,27.94,29.51,37.76,66.49,135.92,207.89
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/chiller_cop=3/instance-out.sql,21085.67,19738.89,1346.79,1566.23,1433.82,1601.13,1521.76,1684.25,1752.02,1841.59,2035.22,1702.39,1569.89,1504.69,1525.90,286.60,179.54,115.75,71.34,57.77,44.39,30.26,31.91,42.23,76.92,161.32,248.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/chiller_cop=9/instance-out.sql,19954.50,18607.71,1346.79,1528.63,1389.97,1574.46,1469.79,1588.34,1602.85,1622.55,1765.11,1558.14,1529.29,1480.49,1498.11,286.60,179.54,115.75,71.34,57.77,44.39,30.26,31.91,42.23,76.92,161.32,248.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/chiller_outdoor_min=28/instance-out.sql,19292.48,18218.54,1073.95,1499.40,1355.65,1553.51,1444.88,1546.27,1555.43,1576.38,1743.72,1506.39,1499.81,1460.37,1476.72,211.78,118.06,99.66,66.07,53.71,39.12,26.40,27.75,37.71,72.17,135.66,185.86
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/chiller_outdoor_min=36/instance-out.sql,19218.37,18145.00,1073.37,1499.40,1355.65,1553.52,1444.88,1546.07,1555.47,1561.22,1689.88,1501.92,1499.85,1460.38,1476.74,211.78,118.06,99.66,66.07,53.70,39.12,26.32,27.47,37.59,72.15,135.71,185.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/chp_elec_eff=0.15/instance-out.sql,20315.33,18968.54,1346.79,1540.60,1403.93,1582.96,1486.38,1618.95,1650.52,1692.43,1851.22,1604.16,1542.24,1488.20,1506.96,286.60,179.54,115.75,71.34,57.77,44.39,30.26,31.91,42.23,76.92,161.32,248.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-large/sensitivity/runs/chp_elec_eff=0.4/instance-out.sql,20315.33,18968.54,1346.79,1540.60,1403.93,1582.96,1486.38,1618.95,1650.52,1692.43,1851.22,1604.16,1542.24,1488.20,1506.96,286.60,179.54,115.75,71.34,57.77,44.39,30.26,31.91,42.23,76.92,161.32,248.74
