File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/air_leakage=0.15/instance-out.sql,6661.80,2604.48,4057.32,214.63,193.65,224.57,206.08,220.73,221.11,224.56,252.13,212.17,213.99,210.51,210.35,678.23,532.13,487.60,317.27,220.80,123.24,57.59,57.12,138.95,309.68,509.42,625.29
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/air_leakage=1.3/instance-out.sql,7133.80,2588.08,4545.72,215.44,194.13,224.64,205.41,218.74,217.83,219.47,247.69,209.57,213.64,210.70,210.81,751.36,593.34,545.51,360.42,255.35,143.33,67.26,63.94,160.93,350.88,562.95,690.46
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/cooling_coil_cop=1/instance-out.sql,6958.09,2777.74,4180.35,214.70,193.79,224.74,211.67,229.98,238.76,270.12,328.50,228.87,215.47,210.75,210.39,696.87,547.48,502.96,328.28,229.25,128.13,59.53,58.42,144.36,320.23,523.08,641.76
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,6778.41,2598.06,4180.35,214.69,193.66,224.52,205.78,219.97,219.95,222.90,250.70,211.27,213.79,210.47,210.35,696.87,547.48,502.96,328.28,229.25,128.13,59.53,58.42,144.36,320.23,523.08,641.76
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/cooling_setpoint=70/instance-out.sql
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/cooling_setpoint=80/instance-out.sql,6751.89,2515.53,4236.36,209.16,188.62,218.54,199.78,213.08,212.14,213.47,238.61,204.04,208.07,205.01,205.02,704.07,553.93,510.66,334.06,234.36,130.06,59.81,56.98,146.99,326.52,530.17,648.75
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/dhw_office=0.1/instance-out.sql,6760.62,2597.97,4162.65,214.69,193.66,224.51,205.77,219.96,219.94,222.88,250.68,211.26,213.79,210.47,210.35,695.28,546.01,501.26,326.78,227.81,126.66,58.15,56.93,143.03,318.83,521.70,640.22
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/dhw_office=10/instance-out.sql,8554.48,2606.85,5947.64,214.88,193.84,224.74,206.25,220.78,221.19,224.70,252.71,212.34,214.16,210.68,210.55,855.70,693.36,670.90,477.07,381.43,272.97,195.72,205.69,277.05,459.56,666.24,791.95
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/dhw_temp=200/instance-out.sql,6789.14,2598.12,4191.02,214.69,193.66,224.52,205.78,219.98,219.96,222.91,250.72,211.28,213.80,210.47,210.35,697.74,548.26,503.84,329.14,230.25,129.04,60.42,59.40,145.23,321.09,523.96,642.63
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-medium/sensitivity/runs/dhw_temp=90/instance-out.sql,6761.30,2597.96,4163.34,214.69,193.66,224.51,205.77,219.96,219.94,222.88,250.68,211.26,213.79,210.47,210.35,695.50,546.23,501.45,326.92,227.87,126.63,58.06,56.82,142.96,318.83,521.73,640.34
