File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ1/instance-out.sql,19.87,17.65,19.79,18.13,19.49,19.75,20.25,22.61,19.85,19.60,18.96,19.59,8.12,6.30,3.09,1.62,1.16,1.02,1.00,1.00,1.02,1.32,3.67,7.37
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ2/instance-out.sql,19.50,17.19,19.69,18.26,19.44,20.62,21.82,23.29,21.17,19.60,18.58,19.30,7.07,4.37,2.46,1.49,1.22,1.01,0.95,0.98,0.99,1.56,4.28,5.98
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ3/instance-out.sql,20.46,17.93,20.05,18.89,20.53,22.57,24.91,25.11,21.51,20.61,19.51,19.87,14.82,7.96,5.07,1.37,1.08,0.97,0.94,0.96,0.98,1.26,5.83,9.28
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ1/instance-out.sql,20.12,17.76,19.86,18.27,19.44,20.55,21.91,22.86,20.60,19.91,19.09,19.89,12.82,8.44,6.10,2.70,1.36,1.04,0.98,1.01,1.05,1.75,8.05,10.14
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ2/instance-out.sql,20.32,17.93,19.89,18.38,19.99,21.96,23.76,24.44,20.87,20.06,19.27,20.19,16.09,8.27,5.95,1.92,1.21,0.98,0.96,0.98,1.06,1.75,6.62,14.34
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ3_CZ1/instance-out.sql,20.58,18.56,20.55,18.53,20.04,21.73,22.93,24.06,19.94,20.46,19.80,20.69,13.13,15.29,10.58,6.46,2.54,1.13,1.00,1.03,1.35,5.37,9.99,16.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ1/instance-out.sql,19.11,17.08,19.39,17.52,18.58,18.73,19.18,21.71,18.18,18.35,18.33,18.63,30.52,23.03,14.93,7.31,2.40,1.01,0.95,0.97,1.10,5.62,17.25,27.91
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ2/instance-out.sql,18.93,16.84,19.29,17.62,18.68,19.89,21.83,23.03,20.20,18.54,18.30,18.49,26.88,18.01,10.87,6.53,3.06,0.98,0.94,0.96,1.02,6.69,19.02,24.72
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ3/instance-out.sql,20.66,18.20,20.67,18.75,20.45,23.69,27.21,26.61,21.00,19.95,19.66,19.81,46.12,27.40,18.74,4.79,1.54,0.95,0.94,0.95,0.97,3.76,23.78,34.00
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ1/instance-out.sql,20.35,18.00,20.56,18.52,19.62,21.13,22.70,23.08,20.05,19.60,19.56,19.71,41.29,28.67,23.96,11.60,5.21,1.46,0.97,1.01,1.53,8.75,30.55,35.75
