File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/air_leakage=0.15/instance-out.sql,251.52,222.29,29.23,17.94,16.17,18.73,17.32,19.03,19.44,19.55,21.80,18.72,18.38,17.64,17.57,6.56,5.22,2.24,1.25,1.00,0.95,0.95,0.97,0.93,1.06,2.50,5.61
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/air_leakage=1/instance-out.sql,291.08,216.74,74.34,18.08,16.25,18.63,16.95,18.17,18.43,18.52,20.80,17.81,17.86,17.55,17.68,17.24,13.65,7.82,3.72,1.52,1.02,0.96,0.97,1.01,2.42,8.49,15.53
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/control_option=ASTRONOMICALCLOCK/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/control_option=SCHEDULENAMEONLY/instance-out.sql,272.65,230.14,42.51,18.61,16.84,19.51,18.09,19.72,20.16,20.25,22.44,19.21,18.90,18.22,18.17,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/cool_sizing_factor=1/instance-out.sql,251.39,201.71,49.68,16.63,14.96,17.19,15.75,16.96,17.28,17.50,19.53,16.75,16.64,16.22,16.30,11.45,9.10,4.90,2.31,1.13,0.96,0.95,0.97,0.94,1.52,5.26,10.19
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/cool_sizing_factor=2/instance-out.sql,262.19,219.68,42.51,17.97,16.17,18.66,17.12,18.62,19.02,19.12,21.40,18.33,18.12,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/cooling_coil_cop=2/instance-out.sql,266.47,223.96,42.51,17.97,16.18,18.67,17.23,18.96,19.68,20.10,22.77,18.96,18.29,17.57,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,259.73,217.22,42.51,17.97,16.17,18.65,17.06,18.43,18.64,18.56,20.61,17.97,18.01,17.56,17.58,9.94,7.88,3.81,1.86,1.06,0.95,0.95,0.97,0.94,1.29,4.16,8.69
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/cooling_setpoint=70/instance-out.sql,299.16,264.63,34.53,20.91,18.97,22.38,20.78,22.96,23.47,23.30,26.25,22.41,22.03,20.82,20.35,7.81,6.21,2.99,1.59,1.05,0.95,0.95,0.97,0.94,1.23,3.22,6.64
/Users/peter-ellis/Documents/Big Ladder/projects/tools/modelkit/rtf/development/framework-FLANNEL/Modelkit Catalyst PNW/models/pnw/office-small/sensitivity/runs/cooling_setpoint=80/instance-out.sql,247.92,198.63,49.29,16.63,14.95,17.17,15.63,16.59,16.63,16.94,18.90,16.24,16.45,16.21,16.30,11.45,9.10,4.86,2.29,1.08,0.95,0.95,0.97,0.94,1.43,5.15,10.12
