key,dependencies,units,values,,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,0,10,,,,,,,,,
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,0,24,,,,,,,,,
below_grade_wall_insul,,R-IP,0,25,,,,,,,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof,,,,,,
roof_reflectance,,,0.2,0.8,,,,,,,,,
roof_emittance,,,0.25,0.95,,,,,,,,,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,38,,,,,,,,,
roof_base_cont_insul,,R-IP,0,20,,,,,,,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile,,,,
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in,,,,,,,
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Studs at 16 in. on center,Wood Studs at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,R-IP,0,19,,,,,,,,,
wall_base_cont_insul,,R-IP,0,10,,,,,,,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab,,,
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in,,,,,,,,
window_u,,U-IP,0.15,0.8,,,,,,,,,
window_shgc,,,0.25,0.6,,,,,,,,,
window_transmittance,,,0.2,0.8,,,,,,,,,
thermal_bridging,,,TRUE,FALSE,,,,,,,,,
air_leakage,,CFM/ft2,0.15,1,,,,,,,,,
upstream_duct_leakage,,,0,0.5,,,,,,,,,
downstream_duct_leakage,,,0,0.5,,,,,,,,,
lighting_density_target,,W/ft2,0.4,2,,,,,,,,,
lighting_density_office,,W/ft2,0,5,,,,,,,,,
lighting_density_residence,,W/ft2,0,5,,,,,,,,,
lighting_density_amenity,,W/ft2,0,5,,,,,,,,,
lighting_density_corridor,,W/ft2,0,5,,,,,,,,,
lighting_density_commons,,W/ft2,0,5,,,,,,,,,
lighting_density_dining,,W/ft2,0,5,,,,,,,,,
lighting_density_elevator,,W/ft2,0,5,,,,,,,,,
lighting_density_gym,,W/ft2,0,5,,,,,,,,,
lighting_density_kitchen,,W/ft2,0,5,,,,,,,,,
lighting_density_laundry,,W/ft2,0,5,,,,,,,,,
lighting_density_lobby,,W/ft2,0,5,,,,,,,,,
lighting_density_mechanical,,W/ft2,0,5,,,,,,,,,
lighting_density_restroom,,W/ft2,0,5,,,,,,,,,
lighting_density_storage,,W/ft2,0,5,,,,,,,,,
equipment_density_office,,W/ft2,0,5,,,,,,,,,
equipment_density_residence,,W/ft2,0,5,,,,,,,,,
occupant_density_amenity,,1/ft2,0,4,,,,,,,,,
occupant_density_assembly,,1/ft2,0,4,,,,,,,,,
occupant_density_commons,,1/ft2,0,4,,,,,,,,,
occupant_density_corridor,,1/ft2,0,4,,,,,,,,,
occupant_density_dining,,1/ft2,0,4,,,,,,,,,
occupant_density_elevator,,1/ft2,0,4,,,,,,,,,
occupant_density_gym,,1/ft2,0,4,,,,,,,,,
occupant_density_kitchen,,1/ft2,0,4,,,,,,,,,
occupant_density_laundry,,1/ft2,0,4,,,,,,,,,
occupant_density_lobby,,1/ft2,0,4,,,,,,,,,
occupant_density_lounge,,1/ft2,0,4,,,,,,,,,
occupant_density_mechanical,,1/ft2,0,4,,,,,,,,,
occupant_density_office,,1/ft2,0,4,,,,,,,,,
occupant_density_residence,,1/ft2,0,4,,,,,,,,,
occupant_density_restroom,,1/ft2,0,4,,,,,,,,,
occupant_density_storage,,1/ft2,0,4,,,,,,,,,
equipment_density_kitchen,,W/ft2,0,10,,,,,,,,,
equipment_fraction_latent_kitchen,,,0,1,,,,,,,,,
equipment_fraction_radiant_kitchen,,,0,1,,,,,,,,,
equipment_fraction_lost_kitchen,,,0,1,,,,,,,,,
equipment_density_kitchen_exhfan,,W/ft2,0,10,,,,,,,,,
equipment_fraction_latent_kitchen_exhfan,,,0,1,,,,,,,,,
equipment_fraction_radiant_kitchen_exhfan,,,0,1,,,,,,,,,
equipment_fraction_lost_kitchen_exhfan,,,0,1,,,,,,,,,
refrigerator_power,,W,0,50000,,,,,,,,,
rangeoven_power,,W,0,50000,,,,,,,,,
equipment_density_laundry,,W/ft2,0,5,,,,,,,,,
gas_max_kitchen,,W,100000,1000000,,,,,,,,,
gas_fraction_latent_kitchen,,,0,1,,,,,,,,,
gas_fraction_radiant_kitchen,,,0,1,,,,,,,,,
gas_fraction_lost_kitchen,,,0,1,,,,,,,,,
gas_max_laundry,,W,0,50000,,,,,,,,,
gas_fraction_latent_laundry,,,0,1,,,,,,,,,
gas_fraction_radiant_laundry,,,0,1,,,,,,,,,
gas_fraction_lost_laundry,,,0,1,,,,,,,,,
dhw_residence,,GPM,0,10,,,,,,,,,
dhw_recovery,,,FALSE,TRUE,,,,,,,,,
peak_draw_time,,,0,20,,,,,,,,,
storage_recovery_time,,,0,10,,,,,,,,,
dhw_kitchen,,GPM,0,10,,,,,,,,,
dhw_temp_kitchen,,F,0,200,,,,,,,,,
dhw_laundry,,GPM,0,10,,,,,,,,,
internal_mass_area_ratio,,,0,5,,,,,,,,,
oa_person_common,,CFM,0,50,,,,,,,,,
oa_person_kitchen,,CFM,0,50,,,,,,,,,
oa_person_residence,,CFM,0,50,,,,,,,,,
oa_area_common,,CFM/ft2,0,1,,,,,,,,,
oa_area_kitchen,,CFM/ft2,0,1,,,,,,,,,
oa_area_residence,,CFM/ft2,0,1,,,,,,,,,
oa_zone_common,,CFM,0,50,,,,,,,,,
oa_zone_kitchen,,CFM,0,50,,,,,,,,,
oa_zone_residence,,CFM,0,50,,,,,,,,,
zone_hvac,,,RTU,CAVMULTIZONE,,,,,,,,,
zone_hvac_residence,,,PTAC,FANCOIL,FANCOILAIR,ASHP,,,,,,,
oa_system,,,NONE,CAVMULTIZONE,VAVMULTIZONE,VAV,DOAS,VRF,,,,,
night_cycle_common,,,FALSE,TRUE,,,,,,,,,
night_cycle,,,FALSE,TRUE,,,,,,,,,
supply_fan_type_rtu,,,CONSTANT,VARIABLE,,,,,,,,,
return_fan_rtu,,,FALSE,TRUE,,,,,,,,,
return_fan_type_rtu,,,CONSTANT,VARIABLE,,,,,,,,,
fan_eff,,,0,1,,,,,,,,,
fan_rise,,in H2O,0,5,,,,,,,,,
fan_rise_corridor,,in H2O,0,5,,,,,,,,,
fan_motor_eff,,,0,1,,,,,,,,,
fan_motor_eff_kitchen,,,0,1,,,,,,,,,
fan_mode_residence,,,CONSTANT,CYCLING,,,,,,,,,
