key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
infiltration_schedule,,,
upstream_duct_leakage,,,
downstream_duct_leakage,,,
lighting_density_target,,,
lighting_density_office,,,
lighting_density_residence,,,
lighting_density_amenity,,,
lighting_density_corridor,,,
lighting_density_commons,,,
lighting_density_dining,,,
lighting_density_elevator,,,
lighting_density_gym,,,
lighting_density_kitchen,,,
lighting_density_laundry,,,
lighting_density_lobby,,,
lighting_density_mechanical,,,
lighting_density_restroom,,,
lighting_density_storage,,,
lighting_controls,,,NONE,ADVANCED
lighting_schedule_office,,,
lighting_schedule_residence,,,
lighting_schedule_corridor,,,
lighting_schedule_commons,,,
equipment_density_office,,,
equipment_density_residence,,,
equipment_schedule_office,,,
equipment_schedule_residence,,,
equipment_schedule_kitchen,,,
occupant_density_amenity,,,
occupant_density_assembly,,,
occupant_density_commons,,,
occupant_density_corridor,,,
occupant_density_dining,,,
occupant_density_elevator,,,
occupant_density_gym,,,
occupant_density_kitchen,,,
occupant_density_laundry,,,
occupant_density_lobby,,,
