key,dependencies,units,values,
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,4,10
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,2,24
below_grade_wall_insul,,R-IP,4,25
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,4,38
roof_base_cont_insul,,R-IP,4,20
wall_base_cavity_insul,,R-IP,4,19
wall_base_cont_insul,,R-IP,4,10
window_u,,U-IP,0.15,0.8
window_shgc,,,0.25,0.6
air_leakage,,CFM/ft2,0.15,1.3
lighting_density_target,,W/ft2,0.1,2
lighting_density_office,,W/ft2,0.1,2
lighting_density_residence,,W/ft2,0.1,2
lighting_density_amenity,,W/ft2,0.1,2
lighting_density_corridor,,W/ft2,0.1,2
lighting_density_commons,,W/ft2,0.1,2
lighting_density_dining,,W/ft2,0.1,2
lighting_density_elevator,,W/ft2,0.1,2
lighting_density_gym,,W/ft2,0.1,2
lighting_density_kitchen,,W/ft2,0.1,2
lighting_density_laundry,,W/ft2,0.1,2
lighting_density_lobby,,W/ft2,0.1,2
lighting_density_mechanical,,W/ft2,0.1,2
lighting_density_restroom,,W/ft2,0.1,2
lighting_density_storage,,W/ft2,0.1,2
equipment_density_office,,W/ft2,0.1,2
equipment_density_residence,,W/ft2,0.1,2
equipment_density_kitchen,,W/ft2,0.1,2
equipment_density_kitchen_exhfan,,W/ft2,0.1,2
refrigerator_power,,W,1000,8000
rangeoven_power,,W,1000,8000
equipment_density_laundry,,W/ft2,0.1,2
dhw_residence,,GPM,0.1,10
dhw_kitchen,,GPM,0.1,10
dhw_temp_kitchen,,F,90,200
dhw_laundry,,GPM,0.1,10
oa_person_common,,CFM,1,20
oa_person_kitchen,,CFM,1,20
oa_person_residence,,CFM,1,20
oa_area_common,,CFM/ft2,0.1,2
oa_area_kitchen,,CFM/ft2,0.1,2
oa_area_residence,,CFM/ft2,0.1,2
oa_zone_common,,CFM,1,20
oa_zone_kitchen,,CFM,1,20
oa_zone_residence,,CFM,1,20
fan_eff,,,0.3,1
fan_rise,,in H2O,0.1,2
heating_coil_eff,,,0.75,1
heating_coil_cop,,,1,4
cooling_coil_cop,,,1,4
loss_factor,,,0.1,1
fan_eff_fcu,,,0.1,1
fan_rise_fcu,,in H2O,0.1,2
fan_eff_supply,,,0.1,1
fan_rise_supply,,in H2O,0.1,2
fan_eff_return,,,0.1,1
fan_rise_return,,in H2O,0.1,2
ext_light_w,,W,1000,60000
