File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/air_leakage=0.15/instance-out.sql,3207.92,2641.34,566.58,200.96,184.64,212.84,214.00,232.04,235.55,250.20,259.84,229.40,219.68,201.42,200.78,82.96,66.60,53.68,42.17,37.09,30.85,28.40,28.15,30.25,39.28,54.56,72.58
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/air_leakage=1.3/instance-out.sql,3295.60,2618.73,676.88,201.48,183.96,209.98,210.30,228.40,232.94,248.58,258.97,226.72,216.24,200.09,201.05,115.65,89.03,61.04,44.36,37.76,31.00,28.44,28.19,30.48,41.00,68.73,101.20
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/below_grade_wall_insul=25/instance-out.sql,3219.17,2640.89,578.27,201.63,184.99,212.73,213.67,231.55,235.16,249.90,259.70,229.13,219.46,201.63,201.35,86.40,69.12,54.28,42.40,37.19,30.87,28.41,28.16,30.28,39.44,56.03,75.67
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/below_grade_wall_insul=4/instance-out.sql,3219.69,2637.62,582.07,201.24,184.63,212.31,213.31,231.32,235.03,249.85,259.66,228.94,219.09,201.25,200.98,87.77,69.95,54.49,42.44,37.18,30.87,28.41,28.16,30.28,39.47,56.39,76.67
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/cooling_coil_cop=1/instance-out.sql,3821.84,3236.18,585.66,207.11,195.98,236.14,258.14,296.87,319.05,356.39,377.04,303.10,260.26,218.08,208.00,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,3137.47,2551.81,585.66,200.09,182.73,208.63,206.79,222.06,223.30,235.08,243.38,218.47,213.04,198.57,199.68,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_kitchen=0.1/instance-out.sql,3127.97,2634.00,493.97,200.86,184.26,211.89,212.95,231.06,234.86,249.74,259.54,228.68,218.69,200.85,200.60,80.60,63.00,46.21,34.56,29.40,23.74,21.31,21.12,23.35,32.06,49.14,69.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_kitchen=10/instance-out.sql,4149.95,2648.11,1501.85,201.95,185.27,213.03,214.09,232.29,236.08,251.07,260.90,229.90,219.87,201.96,201.70,173.74,147.95,138.90,121.18,114.69,102.13,99.46,98.31,99.41,113.96,132.47,159.67
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_laundry=0.1/instance-out.sql,3137.53,2633.96,503.57,200.85,184.25,211.88,212.94,231.07,234.86,249.74,259.55,228.68,218.69,200.85,200.59,81.47,63.80,47.09,35.38,30.21,24.48,22.06,21.87,24.09,32.84,49.92,70.34
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_laundry=10/instance-out.sql,6697.05,2663.39,4033.66,203.11,186.39,214.40,215.43,233.60,237.36,252.32,262.27,231.17,221.25,203.20,202.88,407.13,360.87,372.01,339.02,328.94,299.28,295.84,292.31,290.65,319.87,341.85,385.88
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_residence=0.1/instance-out.sql,3730.93,2639.16,1091.77,201.03,184.51,212.33,213.50,231.64,235.40,250.27,260.06,229.20,219.23,201.19,200.79,136.01,113.98,102.65,86.95,80.25,69.88,66.74,65.86,67.71,80.37,98.55,122.81
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_residence=10/instance-out.sql,67563.35,3307.22,64256.13,250.54,231.55,268.41,269.40,290.08,292.66,311.73,323.51,286.79,276.64,254.04,251.89,6121.37,5587.37,6062.98,5593.60,5414.52,4893.12,4807.75,4732.90,4695.84,5139.44,5334.92,5872.31
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_temp_kitchen=200/instance-out.sql,3251.36,2635.65,615.71,200.99,184.38,212.02,213.08,231.21,235.00,249.89,259.70,228.82,218.83,200.99,200.73,91.60,73.01,57.21,44.91,39.70,33.35,30.97,30.71,32.74,42.06,59.20,80.24
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/dhw_temp_kitchen=90/instance-out.sql,3170.49,2634.28,536.21,200.89,184.28,211.91,212.97,231.09,234.89,249.76,259.57,228.70,218.72,200.88,200.62,84.87,66.93,50.44,38.38,32.95,26.80,24.22,23.95,26.21,35.30,52.67,73.48
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_kitchen=0.1/instance-out.sql,3165.88,2577.64,588.24,196.29,180.05,207.08,208.26,226.21,230.17,244.84,254.63,223.98,213.85,196.29,195.99,89.80,71.22,54.86,42.54,37.22,30.90,28.42,28.17,30.31,39.59,57.00,78.20
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_kitchen=2/instance-out.sql,3171.68,2583.88,587.79,196.78,180.51,207.61,208.78,226.76,230.70,245.39,255.18,224.51,214.40,196.79,196.48,89.65,71.12,54.83,42.53,37.21,30.90,28.42,28.17,30.31,39.58,56.96,78.11
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_kitchen_exhfan=0.1/instance-out.sql,3216.99,2631.34,585.66,200.63,184.05,211.66,212.73,230.84,234.65,249.52,259.33,228.46,218.47,200.63,200.37,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_kitchen_exhfan=2/instance-out.sql,3230.62,2644.97,585.66,201.78,185.10,212.82,213.85,232.00,235.77,250.68,260.49,229.58,219.62,201.75,201.53,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_laundry=0.1/instance-out.sql,3190.63,2603.70,586.93,198.43,182.03,209.26,210.45,228.43,232.27,247.16,256.84,226.17,216.10,198.39,198.18,89.47,71.06,54.72,42.46,37.17,30.87,28.41,28.16,30.28,39.51,56.84,77.98
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_laundry=2/instance-out.sql,3220.78,2635.12,585.66,200.95,184.34,211.98,213.04,231.17,234.96,249.84,259.65,228.77,218.79,200.94,200.69,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_office=0.1/instance-out.sql,3206.22,2618.25,587.97,199.70,183.16,210.51,211.62,229.64,233.46,248.36,258.08,227.34,217.32,199.62,199.46,89.76,71.21,54.78,42.47,37.18,30.87,28.41,28.16,30.28,39.52,57.00,78.32
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_office=2/instance-out.sql,3232.09,2647.60,584.49,201.90,185.24,213.07,214.08,232.27,236.05,250.93,260.81,229.82,219.86,201.94,201.63,88.70,70.46,54.60,42.43,37.16,30.86,28.41,28.16,30.27,39.48,56.60,77.36
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_residence=0.1/instance-out.sql,2954.75,2317.86,636.89,176.78,161.63,185.49,186.19,202.91,207.41,221.30,231.07,201.37,191.21,176.12,176.37,104.44,81.12,57.61,42.92,37.22,30.90,28.42,28.17,30.31,39.82,63.58,92.38
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/equipment_density_residence=2/instance-out.sql,4353.46,3822.73,530.73,295.46,271.92,313.22,312.56,334.38,335.06,353.51,363.46,328.52,321.36,297.00,296.28,68.83,57.44,53.06,42.05,36.98,30.76,28.36,28.12,30.17,39.14,52.26,63.58
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/ext_light_w=1000/instance-out.sql,3184.41,2598.76,585.66,197.00,181.09,208.77,210.43,228.80,232.96,247.62,257.12,225.85,215.35,197.24,196.55,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/ext_light_w=60000/instance-out.sql,4110.05,3524.39,585.66,297.46,263.92,290.54,276.91,288.91,283.93,304.33,321.68,300.40,302.86,291.54,301.90,89.06,70.72,54.64,42.44,37.17,30.87,28.41,28.16,30.28,39.50,56.73,77.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/residential-care/sensitivity/runs/fan_eff=0.3/instance-out.sql,4041.85,3543.16,498.70,272.55,250.90,289.16,289.29,310.36,311.94,329.65,339.56,305.36,297.36,273.92,273.11,66.43,54.64,48.21,38.92,34.57,29.32,27.77,27.60,28.68,36.03,47.49,59.03
