Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,win-sum,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec,JanDEc
loss_factor,0.600856587,0.515424789,0.777419686,0.125163256,0.22753939,0.347070782,0.496775717,0.569980282,0.62531694,0.665412275,0.678284681,0.602401891,0.469201097,0.284605525,0.145126938,-1.073406762,0.849032936,0.836629089,0.779303659,0.709374786,0.625377948,0.479075262,0.224406224,0.244635193,0.507962301,0.705794727,0.811107781,0.840232792,1.220224311
oa_person_residence,0.077816772,0.03828415,0.404722174,0.010916815,0.023865708,0.044364175,0.056676804,0.058111793,0.049044371,0.035446056,0.026520523,0.049483556,0.054075904,0.030625767,0.013388667,-0.037661097,0.572461737,0.538559069,0.384844664,0.218899963,0.061899949,0.002908856,0.00140647,0.001064585,0.007217848,0.181893688,0.486156508,0.575205677,1.145196359
oa_person_common,0.215418897,0.059244322,0.658018619,0.055975291,0.061877593,0.07046904,0.070267817,0.068272754,0.059049689,0.041286397,0.026761208,0.064436183,0.07511592,0.066203086,0.058960582,0.046888268,0.730616673,0.720602441,0.699883518,0.633321403,0.527903664,0.328496042,0.168185828,0.156898106,0.396169355,0.63099241,0.726489069,0.736608319,1.142141058
lighting_density_target,0.475847286,0.602052116,0.355660906,0.60856202,0.613479165,0.625256613,0.612538326,0.606459662,0.595265716,0.571485464,0.573268716,0.59283036,0.613274695,0.616216048,0.607156321,0.070964161,0.537751378,0.497571001,0.317778687,0.17317522,0.072994583,0.044416244,0.022307424,0.018668545,0.048662585,0.156634594,0.427969573,0.538219566,1.034994975
lighting_density_residence,0.310681594,0.411409704,0.240872843,0.412569573,0.418635887,0.434359104,0.420573675,0.417442017,0.409282137,0.384752905,0.391215245,0.40403137,0.42096877,0.422258027,0.409497965,0.046099388,0.40531615,0.366680708,0.183904529,0.06888938,0.009890404,0.004203039,0.002109705,0.001774308,0.004940711,0.050556362,0.29807309,0.413857845,0.815289982
fan_eff,0.309303908,0.403763872,0.265678147,0.408915795,0.414627342,0.418626366,0.416467904,0.404498002,0.391709944,0.384468376,0.37371893,0.397989259,0.417238364,0.416070386,0.412471165,0.063199654,0.413990826,0.376753736,0.215459723,0.144615385,0.117436814,0.085749922,0.040759931,0.035639413,0.089234678,0.151836158,0.305498684,0.409581916,0.747173398
equipment_density_residence,0.321286976,0.393663691,0.166684985,0.401678738,0.405597234,0.407796437,0.404306373,0.393175429,0.380976542,0.373992249,0.364249161,0.387038841,0.404997511,0.407003367,0.40471851,0.068155838,0.340961318,0.291913215,0.078979344,0.02027027,0.006448146,0.004530744,0.002111189,0.001774938,0.004618938,0.017076846,0.17804341,0.311755791,0.648830982
fan_rise,0.208955963,0.350469366,0.253719863,0.350253254,0.356347836,0.360727989,0.366862684,0.357251113,0.343049431,0.334204451,0.321330103,0.3502412,0.3661894,0.35696728,0.353169187,0.047887887,0.343455917,0.320073924,0.2441476,0.15155642,0.096812559,0.069988138,0.036351397,0.032764505,0.072634117,0.155061318,0.326358906,0.363865049,0.638205064
oa_area_common,0.552768571,0.041582754,0.863016859,0.073836053,0.065345829,0.050473613,0.035790817,0.018210576,0.010284408,0.029111458,0.053498393,0.011638511,0.02957866,0.05771407,0.072290275,0.063516477,0.875968403,0.875862402,0.887310345,0.872098823,0.840464444,0.743647049,0.590824105,0.539454338,0.79370036,0.878699471,0.890851474,0.882781566,0.628471526
air_leakage,0.026605171,0.008560049,0.162953552,0.002580901,0.003682842,0.013437324,0.01728972,0.015686951,0.01108045,0.00647482,0.003348214,0.01168265,0.015659141,0.006603118,0.00134295,-0.005899183,0.282663208,0.251937549,0.120576671,0.049368801,0.017743644,0.00483871,0.00140647,0.001418943,0.007545932,0.04195122,0.206169067,0.282806324,0.562644119
