File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/air_leakage=0.15/instance-out.sql,2108.87,968.86,1140.01,80.42,72.44,80.08,78.01,81.49,80.81,86.20,88.41,81.12,81.17,78.05,80.66,113.75,98.90,100.71,91.41,90.86,85.98,87.67,87.69,85.35,90.98,97.07,109.65
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/air_leakage=1.2/instance-out.sql,2118.77,959.34,1159.44,80.20,72.20,79.75,77.33,80.45,79.42,84.54,86.78,79.87,80.49,77.84,80.47,117.38,101.77,103.17,93.00,91.69,86.16,87.73,87.74,85.61,92.34,99.60,113.25
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/below_grade_wall_insul=0/instance-out.sql,2112.83,966.51,1146.32,80.37,72.39,79.96,77.80,81.15,80.48,85.87,88.03,80.83,80.95,77.97,80.70,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/below_grade_wall_insul=10/instance-out.sql,2112.16,969.11,1143.05,80.59,72.59,80.22,78.06,81.37,80.71,86.03,88.21,81.08,81.22,78.16,80.87,113.72,99.08,101.05,91.79,91.30,86.25,87.79,87.78,85.57,91.41,97.40,109.91
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/control_option=ASTRONOMICALCLOCK/instance-out.sql,2112.83,966.51,1146.32,80.37,72.39,79.96,77.80,81.15,80.48,85.87,88.03,80.83,80.95,77.97,80.70,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/control_option=SCHEDULENAMEONLY/instance-out.sql,2157.30,1010.98,1146.32,83.11,75.24,83.59,81.91,85.81,85.33,90.69,92.47,84.56,84.31,80.76,83.21,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cool_sizing_factor=1/instance-out.sql,2071.05,902.10,1168.95,75.52,67.96,75.00,72.73,75.64,74.45,79.38,81.45,75.09,75.78,73.24,75.87,119.05,103.14,104.72,93.65,91.89,86.30,87.78,87.78,85.69,92.90,100.96,115.09
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cool_sizing_factor=2/instance-out.sql,2112.83,966.51,1146.32,80.37,72.39,79.96,77.80,81.15,80.48,85.87,88.03,80.83,80.95,77.97,80.70,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_coil_cop_dining=2/instance-out.sql,2122.45,976.14,1146.32,80.37,72.41,80.00,78.17,81.86,81.86,88.35,91.25,81.98,81.16,78.01,80.70,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_coil_cop_dining=4/instance-out.sql,2109.82,963.50,1146.32,80.37,72.38,79.95,77.68,80.93,80.05,85.10,87.02,80.48,80.89,77.96,80.70,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_coil_cop_kitchen=2/instance-out.sql,2122.97,976.65,1146.32,80.44,72.48,80.07,78.23,82.01,82.08,88.21,90.65,82.19,81.40,78.11,80.78,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_coil_cop_kitchen=4/instance-out.sql,2111.83,965.51,1146.32,80.36,72.38,79.95,77.75,81.07,80.32,85.64,87.77,80.70,80.91,77.96,80.70,114.71,99.65,101.42,91.93,91.29,86.22,87.78,87.75,85.56,91.54,97.82,110.64
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint=70/instance-out.sql,2141.70,1025.81,1115.89,84.74,76.40,84.54,82.49,86.37,86.02,91.84,94.15,86.21,85.69,82.28,85.08,108.46,95.02,97.48,89.87,90.32,85.93,87.67,87.69,85.25,89.89,93.73,104.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint=80/instance-out.sql,2107.99,942.17,1165.82,78.53,70.71,78.14,75.94,79.09,78.15,83.34,85.52,78.69,79.11,76.16,78.81,118.35,102.59,104.30,93.55,91.91,86.26,87.76,87.72,85.62,92.88,100.59,114.30
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint_kitchen=70/instance-out.sql,2285.49,1136.25,1149.24,92.40,83.69,93.67,91.83,96.29,95.65,101.85,105.27,96.17,95.83,90.82,92.78,115.02,100.04,101.86,92.18,91.40,86.22,87.79,87.75,85.52,91.65,98.38,111.41
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint_kitchen=80/instance-out.sql,2103.76,957.83,1145.93,79.91,71.95,79.48,77.19,80.39,79.46,84.66,86.78,79.91,80.34,77.50,80.25,114.66,99.64,101.36,91.85,91.24,86.26,87.80,87.78,85.61,91.41,97.76,110.56
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint_kitchen_setup=70/instance-out.sql,2213.96,1063.23,1150.73,87.61,79.32,88.22,86.05,89.65,88.52,94.38,96.23,89.22,89.70,85.85,88.49,115.24,100.24,102.21,92.42,91.44,86.27,87.80,87.74,85.60,91.82,98.55,111.41
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint_kitchen_setup=90/instance-out.sql,2111.76,965.56,1146.20,80.61,72.59,80.22,77.85,80.96,80.07,85.31,87.44,80.46,80.96,78.13,80.94,114.64,99.66,101.43,91.94,91.28,86.21,87.77,87.74,85.56,91.53,97.83,110.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,2151.73,1007.38,1144.34,82.31,74.25,82.31,80.63,84.83,85.06,91.83,94.22,85.31,83.73,80.20,82.70,114.65,98.97,101.29,92.05,91.37,86.12,87.75,87.78,85.59,91.74,97.48,109.55
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,2117.81,976.45,1141.36,81.15,73.09,80.76,78.59,82.04,81.44,86.80,88.90,81.73,81.77,78.73,81.46,113.42,98.90,100.80,91.60,91.17,86.20,87.76,87.75,85.51,91.28,97.22,109.76
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/dhw_kitchen=0.5/instance-out.sql,1920.48,965.48,955.00,80.35,72.35,79.94,77.68,81.06,80.34,85.70,87.84,80.68,80.87,77.96,80.72,97.10,83.58,83.70,75.51,75.08,71.22,73.02,72.97,71.14,76.04,82.08,93.56
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/dhw_kitchen=1/instance-out.sql,1976.29,965.74,1010.56,80.34,72.35,79.95,77.72,81.08,80.38,85.75,87.90,80.72,80.88,77.97,80.70,102.20,88.27,88.86,80.27,79.78,75.57,77.30,77.26,75.31,80.53,86.65,98.55
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/economizer_high_limit_dining=45/instance-out.sql,2114.90,970.04,1144.86,80.39,72.41,80.10,78.03,81.73,81.09,86.33,88.42,81.48,81.33,78.06,80.67,114.63,99.65,101.25,91.71,91.07,86.16,87.74,87.72,85.47,91.21,97.67,110.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-full-service/sensitivity/runs/economizer_high_limit_dining=65/instance-out.sql,2108.08,961.11,1146.97,80.37,72.36,79.89,77.52,80.59,79.37,84.78,87.20,79.84,80.54,77.95,80.71,114.71,99.64,101.50,92.02,91.38,86.30,87.80,87.78,85.67,91.67,97.86,110.63
