File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/air_leakage=0.15/instance-out.sql,1379.29,648.55,730.74,54.09,48.78,54.00,52.50,54.64,53.83,57.05,58.27,53.96,54.46,52.61,54.37,75.18,64.67,65.25,58.43,57.23,53.44,54.54,54.51,53.34,58.35,63.54,72.28
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/air_leakage=1.2/instance-out.sql,1383.04,644.56,738.48,53.92,48.62,53.82,52.25,54.29,53.36,56.47,57.71,53.55,54.18,52.32,54.07,77.15,66.26,66.11,58.78,57.34,53.38,54.46,54.45,53.32,58.73,64.46,74.05
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/below_grade_wall_insul=0/instance-out.sql,1379.47,647.14,732.33,54.03,48.73,53.94,52.41,54.53,53.68,56.84,58.06,53.82,54.44,52.49,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/below_grade_wall_insul=10/instance-out.sql,1379.61,649.13,730.48,54.22,48.89,54.12,52.59,54.70,53.83,56.96,58.18,54.00,54.62,52.66,54.36,74.97,64.61,65.22,58.40,57.28,53.46,54.56,54.51,53.33,58.40,63.57,72.17
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/control_option=ASTRONOMICALCLOCK/instance-out.sql,1379.47,647.14,732.33,54.03,48.73,53.94,52.41,54.53,53.68,56.84,58.06,53.82,54.44,52.49,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/control_option=SCHEDULENAMEONLY/instance-out.sql,1399.67,667.35,732.33,55.28,50.02,55.58,54.28,56.64,55.88,59.03,60.08,55.52,55.96,53.75,55.32,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cool_sizing_factor=1/instance-out.sql,1358.68,613.50,745.18,51.36,46.30,51.23,49.73,51.65,50.70,53.68,54.83,50.96,51.69,49.85,51.51,77.66,66.78,67.28,59.63,57.78,53.60,54.58,54.54,53.57,59.52,65.42,74.82
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cool_sizing_factor=2/instance-out.sql,1379.47,647.14,732.33,54.03,48.73,53.94,52.41,54.53,53.68,56.84,58.06,53.82,54.44,52.49,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_coil_cop_dining=2/instance-out.sql,1385.21,652.88,732.33,54.03,48.74,53.96,52.65,54.95,54.48,58.32,60.03,54.49,54.54,52.51,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/restaurant-quick-service/sensitivity/runs/cooling_coil_cop_dining=4/instance-out.sql,1378.51,646.19,732.33,54.03,48.73,53.93,52.37,54.46,53.54,56.60,57.73,53.71,54.42,52.48,54.18,75.48,64.93,65.44,58.49,57.26,53.43,54.54,54.49,53.33,58.51,63.82,72.59
