key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete MW Solid Grouted
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
air_leakage_entry,,,
infiltration_schedule,,,
infiltration_schedule_entry,,,
upstream_duct_leakage,,,
downstream_duct_leakage,,,
lighting_density_target,,,
lighting_density_entry,,,
lighting_density_retail,,,
lighting_density_office,,,
lighting_schedule,,,
lighting_controls,,,NONE,ADVANCED
equipment_density_entry,,,
equipment_density_retailpos,,,
equipment_density_retail,,,
equipment_density_office,,,
equipment_schedule,,,
occupant_density_entry,,,
occupant_density_retail,,,
occupant_density_office,,,
occupant_schedule,,,
internal_mass_area_ratio,,,
heating_setpoint,,,
cooling_setpoint,,,
heating_setpoint_setback,,,
cooling_setpoint_setup,,,
oa_area_entry,,,
oa_area_retail,,,
oa_area_office,,,
oa_person_entry,,,
oa_person_retail,,,
oa_person_office,,,
minoa_schedule,,,
minfracoa_schedule,,,
zone_hvac,,,SZDX,RTU,VRF,ASHP
fan_eff_entry,,,
fan_rise_entry,,,
fan_motor_eff_entry,,,
heating_coil_type_entry,,,NONE,GAS,ELECTRIC,HOTWATER
fan_eff_retailpos,,,
fan_eff_retailfront,,,
fan_eff_retailcore,,,
fan_eff_office,,,
fan_rise,,,
fan_rise_retailcore,,,
fan_motor_eff_retailpos,,,
fan_motor_eff_retailfront,,,
fan_motor_eff_retailcore,,,
fan_motor_eff_office,,,
fan_mode_frontpos,,,CONSTANT, CYCLING
fan_mode_office_n_back,,,CONSTANT, CYCLING
fan_mode_retailcore,,,CONSTANT, CYCLING
return_fan,,,false,true
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER
heating_coil_eff,,,
heating_coil_cop_retailpos,,,
heating_coil_cop_retailfront,,,
heating_coil_cop_retailcore,,,
heating_coil_cop_office,,,
heating_coil_eff_retailcore,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER
cooling_coil_cop_retailpos,,,
cooling_coil_cop_retailfront,,,
cooling_coil_cop_retailcore,,,
cooling_coil_cop_office,,,
loss_factor,,,
performance_data_source,,,
economizer_type,,,NoEconomizer,DifferentialDryBulb
economizer_high_limit,,,
economizer_lockout,,,
economizer_max_oa_frac,,,
economizer_type_retailcore,,,NoEconomizer,DifferentialDryBulb,FixedDryBulb
economizer_high_limit_retailcore,,,
economizer_lockout_retailcore,,,
economizer_max_oa_frac_retailcore,,,
night_cycle,,,false,true
operation_schedule,,,
ext_light_w,,,
schedule_ext_lights,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY
water_heater_fuel,,,NaturalGas,Electricity,DistrictHeating
water_heater_eff,,,
supply_dhw_delta,,,
pump_eff_dhw,,,
pump_head_dhw,,,
dhw_recovery,,,false,true
peak_draw_time,,,
storage_recovery_time,,,
dhw_peakflow,,,
dhw_temp,,,
dhw_schedule,,,
rainwater_harvest,,,true,false
graywater_recycling,,,true,false
cooling_coil_condensate,,,true,false
landscaping_control,,,true,false
landscaping_area,,,
annual_irrigation_factor,,,
irrigation_system_efficiency,,,
vestibule,,,true,false
heating_setpoint_sch,,,
cooling_setpoint_sch,,,
