File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/air_leakage=0.15/instance-out.sql,1521.70,1295.65,226.05,117.10,103.22,112.20,102.79,104.59,102.02,105.68,111.87,103.29,107.46,109.28,116.15,31.85,29.46,22.61,16.10,12.69,11.39,11.45,11.36,11.17,13.08,21.34,33.56
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/air_leakage=1/instance-out.sql,1876.50,1272.09,604.41,117.55,103.39,111.54,101.33,102.04,98.02,100.55,106.65,99.79,105.78,108.93,116.53,105.00,90.76,67.53,43.63,28.49,16.40,12.65,12.01,16.75,35.19,69.08,106.93
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/air_leakage_entry=0.15/instance-out.sql,1605.81,1281.66,324.14,116.74,102.82,111.53,101.88,103.29,100.04,103.27,109.50,101.59,106.51,108.74,115.75,51.65,46.27,34.80,23.05,15.73,11.83,11.45,11.36,11.72,18.28,33.85,54.15
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/air_leakage_entry=1.2/instance-out.sql,1609.31,1284.37,324.93,117.10,103.12,111.84,102.12,103.50,100.22,103.37,109.52,101.74,106.74,109.01,116.10,51.81,46.40,34.89,23.11,15.76,11.83,11.46,11.36,11.73,18.33,33.95,54.31
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/below_grade_wall_insul=0/instance-out.sql,1607.80,1283.19,324.61,116.94,102.99,111.70,102.02,103.41,100.14,103.32,109.53,101.68,106.63,108.89,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/below_grade_wall_insul=20/instance-out.sql,1600.81,1287.78,313.03,117.30,103.36,112.18,102.47,103.86,100.51,103.55,109.75,102.07,107.10,109.31,116.32,48.00,44.04,33.70,22.80,15.90,11.90,11.46,11.36,11.75,18.03,32.56,51.53
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cool_sizing_factor=1/instance-out.sql,1534.11,1162.72,371.39,107.60,94.39,101.69,92.46,92.98,89.28,92.19,97.51,91.39,96.82,99.70,106.71,60.66,53.23,40.63,26.41,17.73,12.32,11.47,11.36,12.24,21.32,40.63,63.38
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cool_sizing_factor=2/instance-out.sql,1607.80,1283.19,324.61,116.94,102.99,111.70,102.02,103.41,100.14,103.32,109.53,101.68,106.63,108.89,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_office=2/instance-out.sql,1609.35,1284.74,324.61,116.94,102.99,111.70,102.04,103.50,100.36,103.76,110.12,101.85,106.65,108.89,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_office=4/instance-out.sql,1606.91,1282.30,324.61,116.94,102.99,111.70,102.00,103.36,100.02,103.07,109.19,101.58,106.63,108.89,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_retailcore=2/instance-out.sql,1619.72,1295.11,324.61,116.94,103.02,111.74,102.41,104.28,101.93,106.40,113.50,103.13,106.88,108.93,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_retailcore=4/instance-out.sql,1600.95,1276.34,324.61,116.94,102.97,111.68,101.79,102.91,99.11,101.55,107.24,100.84,106.49,108.87,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_retailfront=2/instance-out.sql,1610.44,1285.83,324.61,116.95,103.01,111.77,102.16,103.64,100.48,103.84,110.23,102.07,106.80,108.92,115.95,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_retailfront=4/instance-out.sql,1606.29,1281.68,324.61,116.94,102.97,111.66,101.93,103.28,99.95,103.02,109.12,101.45,106.54,108.88,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_retailpos=2/instance-out.sql,1612.20,1287.59,324.61,116.96,103.07,111.88,102.30,103.83,100.70,104.11,110.52,102.29,106.96,108.98,115.99,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_coil_cop_retailpos=4/instance-out.sql,1605.28,1280.67,324.61,116.93,102.94,111.60,101.85,103.17,99.82,102.87,108.96,101.32,106.45,108.85,115.92,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_setpoint=70/instance-out.sql,1791.02,1515.70,275.32,132.83,117.86,129.47,120.00,124.02,123.28,127.74,135.92,123.13,124.87,124.92,131.66,41.19,37.69,28.83,19.99,14.70,11.74,11.46,11.36,11.60,16.26,27.26,43.26
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_setpoint=80/instance-out.sql,1517.37,1154.05,363.32,108.43,95.00,102.27,92.37,92.10,87.02,88.84,93.63,89.65,96.89,100.37,107.48,59.85,52.52,39.79,25.76,16.90,12.00,11.45,11.36,11.84,20.15,39.52,62.19
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,1736.77,1384.50,352.27,120.97,106.87,116.85,108.93,112.85,112.33,119.48,126.55,113.28,113.05,113.49,119.86,63.26,49.37,37.67,25.52,18.47,12.96,11.65,11.51,12.95,20.77,34.54,53.60
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,1621.72,1315.12,306.61,119.38,105.23,114.33,104.54,106.17,103.05,106.32,112.78,104.42,109.21,111.31,118.38,46.49,43.30,32.72,21.93,15.13,11.73,11.45,11.36,11.61,17.46,31.98,51.45
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_high_limit=45/instance-out.sql,1607.12,1283.73,323.39,116.94,102.99,111.70,102.02,103.46,100.26,103.45,109.66,101.77,106.65,108.89,115.94,51.72,46.33,34.68,22.90,15.51,11.76,11.45,11.36,11.64,18.06,33.77,54.21
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_high_limit=65/instance-out.sql,1607.44,1282.23,325.21,116.94,102.99,111.70,102.00,103.35,99.93,103.05,109.29,101.51,106.61,108.89,115.94,51.75,46.35,34.90,23.16,15.87,11.91,11.46,11.36,11.81,18.46,33.94,54.26
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_high_limit_retailcore=45/instance-out.sql,1604.07,1289.03,315.04,116.95,103.03,111.86,102.44,104.39,101.18,104.14,110.31,102.65,107.18,108.97,115.94,51.16,45.77,32.94,21.64,14.80,11.67,11.45,11.36,11.52,16.86,32.38,53.50
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_high_limit_retailcore=65/instance-out.sql,1602.50,1275.67,326.83,116.94,102.95,111.63,101.67,102.75,98.58,101.65,108.11,100.36,106.23,108.87,115.95,51.75,46.36,35.13,23.40,16.17,11.99,11.46,11.36,11.86,18.86,34.12,54.38
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_lockout=LockoutWithCompressor/instance-out.sql,1607.78,1283.21,324.56,116.94,102.99,111.70,102.02,103.41,100.14,103.32,109.54,101.68,106.63,108.89,115.94,51.75,46.34,34.84,23.08,15.74,11.83,11.45,11.36,11.73,18.31,33.90,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_lockout=LockoutWithHeating/instance-out.sql,1607.78,1283.21,324.56,116.94,102.99,111.70,102.02,103.41,100.14,103.32,109.54,101.68,106.63,108.89,115.94,51.75,46.34,34.84,23.08,15.74,11.83,11.45,11.36,11.73,18.31,33.90,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_lockout=NoLockout/instance-out.sql,1607.80,1283.19,324.61,116.94,102.99,111.70,102.02,103.41,100.14,103.32,109.53,101.68,106.63,108.89,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_lockout_retailcore=LockoutWithCompressor/instance-out.sql,1605.98,1284.06,321.92,116.94,102.99,111.71,102.07,103.53,100.30,103.46,109.67,101.87,106.69,108.90,115.94,51.46,46.14,34.41,22.78,15.50,11.79,11.45,11.36,11.66,17.96,33.46,53.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_lockout_retailcore=LockoutWithHeating/instance-out.sql,1605.98,1284.06,321.92,116.94,102.99,111.71,102.07,103.53,100.30,103.46,109.67,101.87,106.69,108.90,115.94,51.46,46.13,34.41,22.78,15.50,11.79,11.45,11.36,11.66,17.96,33.46,53.96
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-stand-alone/sensitivity/runs/economizer_lockout_retailcore=NoLockout/instance-out.sql,1607.80,1283.19,324.61,116.94,102.99,111.70,102.02,103.41,100.14,103.32,109.53,101.68,106.63,108.89,115.94,51.75,46.34,34.85,23.08,15.75,11.83,11.45,11.36,11.73,18.32,33.91,54.24
