key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
infiltration_schedule,,,
upstream_duct_leakage,,,
downstream_duct_leakage,,,
lighting_density_target,,,
lighting_density_high,,,
lighting_density_med,,,
lighting_density_low,,,
lighting_schedule,,,
lighting_controls,,,NONE,ADVANCED
equipment_density,,,
equipment_schedule,,,
occupant_density_large,,,
occupant_density_small,,,
occupant_schedule,,,
dhw_peakflow,,,
dhw_temp,,,
dhw_sch_type1,,,
dhw_sch_type2,,,
dhw_sch_type3,,,
internal_mass_area_ratio,,,
heating_setpoint,,,
cooling_setpoint,,,
heating_setpoint_setback,,,
cooling_setpoint_setup,,,
oa_area_large,,,
oa_area_small,,,
oa_person_large,,,
oa_person_small,,,
minoa_schedule,,,
minfracoa_schedule,,,
zone_hvac,,,RTU,VRF,ASHP
performance_data_source,,,
fan_eff_lgstore,,,
fan_eff_smstore,,,
fan_rise,,,
fan_motor_eff_lgstore,,,
fan_motor_eff_smstore,,,
return_fan,,,false,true
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER
heating_coil_eff,,,
heating_coil_cop_lgstore,,,
heating_coil_cop_smstore,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER
cooling_coil_cop_lgstore,,,
cooling_coil_cop_smstore,,,
economizer_type,,,NoEconomizer,DifferentialDryBulb
night_cycle,,,false,true
economizer_high_limit,,,
economizer_lockout,,,
economizer_max_oa_frac,,,
loss_factor,,,
operation_schedule,,,
ext_light_w,,,
schedule_ext_lights,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY
water_heater_fuel,,,NaturalGas,Electricity,DistrictHeating
water_heater_eff,,,
supply_dhw_temp,,,
supply_dhw_delta,,,
pump_eff_dhw,,,
pump_head_dhw,,,
dhw_recovery,,,false,true
dhw_heating_source,,,WATERHEATER,PLANTLOOP
peak_draw_time,,,
storage_recovery_time,,,
rainwater_harvest,,,true,false
graywater_recycling,,,true,false
cooling_coil_condensate,,,true,false
landscaping_control,,,true,false
landscaping_area,,,
annual_irrigation_factor,,,
irrigation_system_efficiency,,,
vestibule,,,true,false
heating_setpoint_sch,,,
cooling_setpoint_sch,,,
