File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/air_leakage=0.15/instance-out.sql,1423.31,1075.68,347.63,89.05,79.87,88.96,84.56,89.28,89.90,95.95,102.86,90.79,89.15,86.18,89.14,62.23,50.69,34.58,20.45,14.18,12.49,12.16,12.43,12.10,15.73,37.85,62.74
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/air_leakage=1/instance-out.sql,1808.87,1062.54,746.33,90.62,81.19,89.58,84.19,87.33,86.33,91.40,98.41,87.65,88.22,86.91,90.71,138.16,113.39,83.70,51.73,31.01,17.53,13.34,13.03,18.09,41.09,89.28,135.98
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/control_option=ASTRONOMICALCLOCK/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/control_option=SCHEDULENAMEONLY/instance-out.sql,1632.02,1174.66,457.36,95.96,87.01,97.76,94.16,99.45,99.80,105.48,111.62,98.24,96.70,93.00,95.47,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cool_sizing_factor=1/instance-out.sql,1469.06,936.02,533.04,79.17,70.85,78.29,73.99,76.88,76.14,81.53,87.55,77.93,78.00,76.32,79.39,95.95,79.00,59.58,36.17,21.56,13.96,12.27,12.48,13.92,28.84,63.42,95.86
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cool_sizing_factor=2/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_coil_cop_lgstore=2/instance-out.sql,1531.22,1073.86,457.36,89.37,80.17,89.05,84.46,88.68,89.00,95.44,103.02,90.12,88.80,86.31,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_coil_cop_lgstore=4/instance-out.sql,1521.50,1064.14,457.36,89.37,80.15,89.02,84.16,88.00,87.65,93.00,99.73,88.80,88.53,86.28,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_coil_cop_smstore=2/instance-out.sql,1537.64,1080.29,457.36,89.37,80.19,89.06,84.67,89.10,89.84,97.09,105.35,90.93,88.92,86.33,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_coil_cop_smstore=4/instance-out.sql,1517.80,1060.44,457.36,89.37,80.14,89.02,84.05,87.76,87.16,92.05,98.39,88.33,88.46,86.27,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_setpoint=70/instance-out.sql,1674.00,1284.12,389.88,102.72,92.96,105.15,101.52,108.98,110.42,116.88,125.90,110.24,106.61,100.25,102.50,69.09,57.36,40.05,24.66,16.90,12.94,12.18,12.42,12.68,19.75,42.22,69.63
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_setpoint=80/instance-out.sql,1457.22,943.59,513.63,81.27,72.71,80.46,75.43,77.68,75.54,79.14,84.55,77.44,79.63,78.28,81.45,93.47,76.86,57.28,34.41,20.09,13.48,12.24,12.48,13.15,26.48,60.60,93.09
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,1650.99,1189.95,461.04,94.98,85.33,95.54,92.75,99.95,102.23,112.10,120.34,102.82,96.80,92.29,94.82,92.77,68.44,47.84,29.25,19.39,13.72,12.35,12.56,13.64,22.75,49.35,78.98
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,1531.12,1094.18,436.94,91.36,81.98,91.16,86.34,90.58,90.61,96.42,103.66,91.60,90.77,88.26,91.43,77.53,65.55,46.41,27.67,17.20,12.90,12.19,12.44,12.65,21.29,50.17,80.94
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_high_limit=45/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_high_limit=65/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_lockout=LockoutWithCompressor/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_lockout=LockoutWithHeating/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_lockout=NoLockout/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_type=DifferentialDryBulb/instance-out.sql,1526.92,1063.52,463.40,89.37,80.16,89.01,84.17,87.80,87.34,93.00,100.04,88.55,88.34,86.28,89.45,83.92,68.82,50.06,30.12,18.86,13.26,12.19,12.44,13.03,23.74,53.08,83.86
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/economizer_type=NoEconomizer/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/equipment_density=0.2/instance-out.sql,1470.59,979.88,490.71,82.39,73.80,81.80,77.26,80.69,80.39,85.87,92.55,81.76,81.39,79.48,82.50,89.26,73.46,53.67,32.15,19.29,13.33,12.21,12.45,13.17,24.97,57.30,89.44
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/equipment_density=2/instance-out.sql,2044.19,1778.95,265.24,144.98,130.97,147.52,141.69,150.83,151.52,158.42,168.21,150.84,148.21,141.02,144.73,44.38,37.78,23.99,16.37,13.51,12.45,12.16,12.43,12.02,13.52,24.02,42.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/ext_light_w=0/instance-out.sql,1419.15,961.79,457.36,77.88,70.68,79.68,76.67,81.37,82.31,87.40,93.54,80.75,78.62,75.50,77.39,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/ext_light_w=10000/instance-out.sql,1576.04,1118.68,457.36,94.91,84.72,93.54,87.94,91.56,90.95,97.01,104.49,93.38,93.45,91.48,95.25,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/foundation_type=Exterior Horizontal/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/foundation_type=Full Slab/instance-out.sql,1528.86,1068.50,460.36,89.46,80.21,89.10,84.36,88.34,88.25,93.97,100.99,89.30,88.68,86.35,89.50,86.18,68.82,48.91,29.07,17.93,13.01,12.20,12.44,12.88,22.66,52.80,83.48
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/retail-strip-mall/sensitivity/runs/foundation_type=None/instance-out.sql,1525.05,1067.69,457.36,89.37,80.16,89.03,84.27,88.25,88.14,93.89,100.93,89.28,88.63,86.29,89.45,83.69,68.70,49.07,29.20,17.84,13.02,12.20,12.44,12.79,22.37,52.43,83.61
