File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,616.08,561.56,627.06,619.54,658.44,657.28,702.47,726.56,667.38,649.68,615.96,621.44,463.62,390.53,347.60,262.67,209.07,149.14,129.75,126.09,152.46,251.98,357.00,467.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,625.00,566.27,647.06,619.91,655.36,686.79,745.47,749.11,700.17,648.87,612.82,630.99,426.19,346.30,294.06,264.27,231.77,146.06,122.47,126.72,150.78,270.32,379.63,432.57
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,620.37,563.15,625.84,632.84,674.89,698.32,771.39,738.34,672.97,647.95,608.49,622.13,603.17,435.45,389.25,242.20,184.41,139.48,116.92,132.62,147.52,246.51,438.43,527.80
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,611.05,550.27,613.08,606.33,636.79,661.28,716.28,696.60,649.55,634.75,594.36,615.28,574.82,456.57,455.64,327.27,279.61,178.36,140.89,169.24,218.49,325.61,509.69,548.97
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,617.84,556.25,618.26,611.18,662.62,675.71,737.08,717.24,647.77,636.74,599.77,617.83,658.11,459.82,455.77,307.08,232.87,151.52,126.24,147.71,222.50,345.08,489.39,652.95
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,628.13,566.46,627.93,609.19,656.18,678.57,731.61,707.23,639.54,644.08,611.42,626.54,556.68,591.50,528.08,433.26,276.10,186.21,138.33,159.13,251.35,414.64,527.54,652.48
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ1/instance-out.sql,444.29,406.43,456.96,450.31,481.81,484.13,516.23,539.97,494.16,475.30,448.96,449.49,261.49,233.13,211.24,164.79,132.84,96.83,78.52,65.87,98.34,159.67,217.78,279.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ2/instance-out.sql,448.05,407.13,471.12,445.28,473.61,502.66,541.48,551.07,511.64,469.95,441.78,454.01,244.98,209.07,183.56,160.38,140.00,81.13,58.83,59.18,76.37,161.11,230.66,264.63
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ1_CZ3/instance-out.sql,431.95,394.69,441.30,446.97,477.43,493.93,539.70,523.04,477.22,457.39,427.10,434.90,343.30,264.35,245.07,154.68,122.15,80.10,52.49,66.35,90.14,155.87,265.91,322.88
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ2_CZ1/instance-out.sql,430.23,388.65,435.92,430.74,454.34,474.05,510.90,500.01,463.62,452.38,420.34,434.99,316.67,271.36,272.49,199.38,168.60,100.53,73.99,86.09,113.24,184.18,300.85,329.29
