key,dependencies,units,values,,,,,,,,,,
heat_sizing_factor,,,1,2,,,,,,,,,
cool_sizing_factor,,,1,2,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
foundation_insul,,R-IP,0,10,,,,,,,,,
slab_insulation_extent,,R-IP,0,24,,,,,,,,,
below_grade_wall_insul,,R-IP,0,20,,,,,,,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof,,,,,,
roof_reflectance,,,0.2,0.8,,,,,,,,,
roof_emittance,,,0.25,0.95,,,,,,,,,
roof_base_cavity_insul,,R-IP,0,38,,,,,,,,,
roof_base_cont_insul,,R-IP,0,20,,,,,,,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile,,,,
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in,,,,,,,
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,R-IP,0,19,,,,,,,,,
wall_base_cont_insul,,R-IP,0,10,,,,,,,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab,,,
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in,,,,,,,,
window_u,,U-IP,0.15,0.8,,,,,,,,,
window_shgc,,,0.25,0.6,,,,,,,,,
window_transmittance,,,0.2,0.8,,,,,,,,,
thermal_bridging,,,TRUE,FALSE,,,,,,,,,
air_leakage,,CFM/ft2,0.15,1,,,,,,,,,
lighting_density_target,,W/ft2,0.4,2,,,,,,,,,
lighting_density_bulkstorage,,W/ft2,0.4,2,,,,,,,,,
lighting_density_office,,W/ft2,0.4,2,,,,,,,,,
lighting_density_retail,,W/ft2,0.4,2,,,,,,,,,
lighting_controls,,,NONE,ADVANCED,,,,,,,,,
equipment_density_bulkstorage,,W/ft2,0.5,2,,,,,,,,,
equipment_density_office,,W/ft2,0.5,2,,,,,,,,,
equipment_density_bakery,,W/ft2,0.5,8,,,,,,,,,
equipment_density_deli,,W/ft2,0.5,8,,,,,,,,,
equipment_density_retail,,W/ft2,0.5,2,,,,,,,,,
equipment_density_deli_exhfan,,W/ft2,0.5,2,,,,,,,,,
gas_max_bakery,,W,5000,6000,,,,,,,,,
gas_max_deli,,W,5500,6500,,,,,,,,,
occupant_density_bakery,,W/ft2,0.5,2,,,,,,,,,
occupant_density_bulkstorage,,W/ft2,0.5,2,,,,,,,,,
occupant_density_deli,,W/ft2,0.5,2,,,,,,,,,
occupant_density_office,,W/ft2,0.5,2,,,,,,,,,
occupant_density_produce,,W/ft2,0.5,2,,,,,,,,,
occupant_density_sales,,W/ft2,0.5,2,,,,,,,,,
internal_mass_area_ratio,,,1,3,,,,,,,,,
heating_setpoint,,F,65,75,,,,,,,,,
cooling_setpoint,,F,70,80,,,,,,,,,
heating_setpoint_setback,,F,50,70,,,,,,,,,
cooling_setpoint_setup,,F,70,90,,,,,,,,,
oa_area_bakery,,CFM/ft2,0.08,0.2,,,,,,,,,
oa_area_bulkstorage,,CFM/ft2,0.02,0.12,,,,,,,,,
oa_area_deli,,CFM/ft2,0.08,0.2,,,,,,,,,
oa_area_office,,CFM/ft2,0.02,0.12,,,,,,,,,
oa_area_produce,,CFM/ft2,0.02,0.12,,,,,,,,,
oa_area_sales,,CFM/ft2,0.02,0.12,,,,,,,,,
oa_person_bakery,,CFM,6,9,,,,,,,,,
oa_person_bulkstorage,,CFM,3.5,7,,,,,,,,,
oa_person_deli,,CFM,6,9,,,,,,,,,
oa_person_office,,CFM,3.5,7,,,,,,,,,
oa_person_produce,,CFM,6,9,,,,,,,,,
oa_person_sales,,CFM,6,9,,,,,,,,,
fan_eff,,,0.4,0.7,,,,,,,,,
fan_eff_office,,,0.4,0.7,,,,,,,,,
fan_eff_sales,,,0.4,0.7,,,,,,,,,
fan_rise,,in H2O,2,4,,,,,,,,,
fan_rise_sales,,in H2O,2,6,,,,,,,,,
fan_motor_eff,,,0.6,1,,,,,,,,,
fan_motor_eff_office,,,0.6,1,,,,,,,,,
fan_motor_eff_sales,,,0.6,1,,,,,,,,,
heating_coil_eff,,,0.6,0.9,,,,,,,,,
heating_coil_cop,,,1,3.5,,,,,,,,,
heating_coil_eff_bakery,,,0.6,0.9,,,,,,,,,
heating_coil_eff_office,,,0.6,0.9,,,,,,,,,
cooling_coil_cop_bakery,,,1,3.5,,,,,,,,,
cooling_coil_cop_deli,,,1,3.5,,,,,,,,,
cooling_coil_cop_bulkstorage,,,1,3.5,,,,,,,,,
cooling_coil_cop_office,,,1,3.5,,,,,,,,,
cooling_coil_cop_produce,,,1,3.5,,,,,,,,,
cooling_coil_cop_sales,,,1,3.5,,,,,,,,,
economizer_type,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
