File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/air_leakage=0.15/instance-out.sql,7792.64,6262.45,1530.18,501.03,455.41,508.42,502.05,533.58,532.14,569.20,587.73,541.72,527.49,499.55,504.12,201.13,178.56,164.18,125.27,98.88,71.75,56.16,47.92,73.22,124.68,171.69,216.74
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/air_leakage=1/instance-out.sql,8495.45,6378.42,2117.03,505.71,461.60,515.43,510.09,543.71,543.49,581.13,601.72,555.72,539.37,509.39,511.06,308.46,268.12,233.49,171.84,129.15,85.16,61.76,49.72,86.47,161.83,240.49,320.53
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/below_grade_wall_insul=0/instance-out.sql,7992.95,6283.03,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.54,592.30,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/below_grade_wall_insul=20/instance-out.sql,7987.46,6291.27,1696.19,500.42,455.90,509.25,503.54,536.12,535.60,573.05,592.79,547.04,530.95,502.03,504.58,228.17,202.58,184.17,140.03,109.43,76.68,58.18,48.25,77.14,136.29,190.58,244.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/control_option=ASTRONOMICALCLOCK/instance-out.sql,7992.95,6283.03,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.54,592.30,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/control_option=SCHEDULENAMEONLY/instance-out.sql,8214.03,6504.11,1709.92,513.23,469.36,526.49,523.24,558.57,559.10,596.50,614.40,564.92,546.87,515.15,516.27,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cool_sizing_factor=1/instance-out.sql,7896.01,6133.92,1762.09,487.64,444.38,496.32,490.82,522.71,522.10,558.71,578.23,533.71,517.81,489.62,491.87,240.62,212.17,191.64,144.76,112.44,78.25,58.96,48.71,79.38,141.23,198.39,255.53
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cool_sizing_factor=2/instance-out.sql,7992.95,6283.03,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.54,592.30,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_bakery=1/instance-out.sql,8083.26,6373.34,1709.92,503.27,459.07,514.03,509.78,544.17,545.26,584.60,605.61,556.09,537.45,506.33,507.67,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/sensitivity/runs/cooling_coil_cop_bakery=3.5/instance-out.sql,7992.95,6283.03,1709.92,499.62,455.20,508.46,502.80,535.42,534.99,572.54,592.30,546.39,530.19,501.28,503.82,233.63,206.06,186.08,140.55,108.80,75.80,57.25,47.44,76.56,136.71,192.55,248.47
