Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,WinSum,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
occupant_density_sales,0.629486047,0.552781536,0.744616911,0.535207315,0.536857694,0.537850089,0.549327497,0.556188929,0.56987948,0.578280584,0.578987374,0.56019747,0.537788829,0.531971055,0.53364095,-0.088419693,0.703733476,0.701380939,0.729121,0.757412421,0.785534281,0.823081509,0.84371168,0.849510062,0.823067253,0.777356296,0.726333103,0.698827747
occupant_density_produce,0.417089039,0.277658134,0.6115616,0.252701924,0.254389565,0.256687915,0.273947217,0.283290555,0.304137542,0.313113053,0.315407148,0.287735472,0.258043557,0.249600666,0.251069216,-0.124749061,0.598837593,0.585127777,0.587726134,0.599963001,0.622903386,0.664877136,0.714448748,0.743138813,0.68485447,0.603828988,0.587822774,0.575733908
lighting_density_target,0.094402506,0.261308523,0.493473757,0.271844161,0.269623995,0.269487525,0.266146251,0.261270393,0.257169601,0.25240341,0.248099931,0.251355981,0.260962132,0.263687228,0.268729891,0.040070711,0.402592889,0.412868843,0.465099655,0.516781411,0.582670958,0.648819451,0.667709847,0.672152391,0.650422069,0.552615949,0.447635066,0.397608078
occupant_density_bulkstorage,0.309844128,0.258318075,0.442021707,0.232048058,0.233946637,0.237211389,0.254082638,0.265309369,0.287306009,0.293783246,0.29297369,0.271444622,0.240406788,0.22944286,0.230417564,-0.124291314,0.434116983,0.414550837,0.416897294,0.429942095,0.456585694,0.503544005,0.569289962,0.616054159,0.533519703,0.423842245,0.402571147,0.396922276
lighting_density_retail,0.072299441,0.222482863,0.431963659,0.232152093,0.230151266,0.230108055,0.227003785,0.222499122,0.218426084,0.214034482,0.21007739,0.213489437,0.222492483,0.224888921,0.229301732,0.037341953,0.337235543,0.346695299,0.399147667,0.452289144,0.521337033,0.598319033,0.623961909,0.636876523,0.597427429,0.487299684,0.380401299,0.331153961
roof_base_cont_insul,0.232519995,0.146504373,0.442125043,0.140622852,0.14055543,0.137713085,0.143661924,0.151233345,0.160360784,0.16986766,0.159950086,0.142850423,0.130389891,0.132896624,0.139783662,-0.049411232,0.580348624,0.528141254,0.435479899,0.31791681,0.156376361,0.087345435,0.129026641,0.009932375,0.157649667,0.378103942,0.495709641,0.551672712
equipment_density_retail,0.043108856,0.14417859,0.408440161,0.148728084,0.147948488,0.14940529,0.146233784,0.144149616,0.143303228,0.139839548,0.140073754,0.138810957,0.142836357,0.144354357,0.146574066,0.015388848,0.328382485,0.338153936,0.402676268,0.448879402,0.504319853,0.55474934,0.530305677,0.505902192,0.560475444,0.489795918,0.381303558,0.319595927
occupant_density_deli,0.235580681,0.127499408,0.458209932,0.118973351,0.119785957,0.118375706,0.128531893,0.134238427,0.141238992,0.141053671,0.13675167,0.130868225,0.120527757,0.114350766,0.117596523,-0.041235467,0.451287988,0.419357124,0.414514909,0.429525458,0.459871273,0.528011759,0.605346794,0.660591969,0.559809348,0.42487974,0.419465978,0.417795087
occupant_density_bakery,0.210212827,0.116405499,0.415035531,0.110098866,0.112148651,0.11559519,0.120930546,0.121303408,0.122207539,0.122485806,0.121984389,0.113861077,0.114064641,0.109309165,0.109625394,-0.024745935,0.410669949,0.388218808,0.382582049,0.389997723,0.419376088,0.475122811,0.544527975,0.594576168,0.507834472,0.393747293,0.380704989,0.372113658
cooling_setpoint,0.038233859,0.108892561,0.248980571,0.10600377,0.105567723,0.105842567,0.107533525,0.108774623,0.113574869,0.116909898,0.117973395,0.109265048,0.104285467,0.102905126,0.104770729,-0.024108794,0.215908617,0.215505416,0.243847523,0.270015263,0.301829268,0.334542158,0.313061507,0.277531177,0.317588326,0.289858171,0.230278804,0.201814682
