File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/air_leakage=0.15/instance-out.sql,3570.58,2910.12,660.45,257.47,229.28,257.81,235.04,245.77,239.34,215.32,232.75,239.45,252.08,250.63,255.18,91.08,76.96,67.12,50.70,46.09,40.30,24.59,26.02,37.49,48.56,66.36,85.19
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/air_leakage=1.2/instance-out.sql,3845.79,2919.38,926.41,258.96,230.72,259.67,236.23,246.14,238.87,214.87,232.41,239.19,253.19,252.23,256.90,136.49,115.39,103.03,72.68,58.96,44.94,26.06,27.30,42.47,67.59,101.23,130.28
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/boiler_eff=0.6/instance-out.sql,3652.59,2909.62,742.97,257.88,229.74,258.12,234.89,245.40,238.85,214.80,232.26,239.02,251.91,250.96,255.79,106.08,90.71,78.46,55.41,48.24,41.37,25.07,26.42,38.69,52.51,78.45,101.57
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/boiler_eff=0.85/instance-out.sql,3652.44,2909.62,742.83,257.88,229.74,258.12,234.89,245.40,238.85,214.80,232.26,239.02,251.91,250.96,255.79,106.05,90.66,78.46,55.41,48.24,41.37,25.07,26.42,38.69,52.51,78.43,101.51
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/chiller_cop=4.5/instance-out.sql,3652.49,2909.62,742.87,257.88,229.74,258.12,234.89,245.40,238.85,214.80,232.26,239.02,251.91,250.96,255.79,106.06,90.68,78.46,55.41,48.24,41.37,25.07,26.42,38.69,52.51,78.44,101.53
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/chiller_cop=6.5/instance-out.sql,3652.49,2909.62,742.87,257.88,229.74,258.12,234.89,245.40,238.85,214.80,232.26,239.02,251.91,250.96,255.79,106.06,90.68,78.46,55.41,48.24,41.37,25.07,26.42,38.69,52.51,78.44,101.53
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/cooling_setpoint=70/instance-out.sql,3697.96,2972.69,725.27,262.11,233.68,262.55,239.71,251.38,245.53,221.27,239.66,245.13,256.71,254.97,260.00,102.02,86.98,75.50,54.75,48.98,41.71,25.16,26.56,38.90,52.04,75.21,97.46
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/cooling_setpoint=80/instance-out.sql,3634.37,2882.09,752.27,256.15,228.20,256.38,232.97,242.94,235.65,211.62,228.51,236.18,250.11,249.33,254.06,107.88,92.35,79.93,56.26,48.61,41.22,24.89,26.14,38.60,53.22,79.96,103.22
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/cooling_setpoint_setup=70/instance-out.sql,3676.14,2916.86,759.28,258.04,229.77,258.17,235.13,245.90,239.74,217.02,234.67,239.63,251.96,250.99,255.83,112.53,92.81,80.10,56.43,49.08,42.07,25.54,27.02,39.25,53.17,78.96,102.33
/Users/matthew-larson/Documents/My Projects/modelkit-flannel-edition/models/pnw/school-primary/sensitivity/runs/cooling_setpoint_setup=90/instance-out.sql,3638.11,2909.33,728.77,257.75,229.65,258.09,234.90,245.44,238.90,214.74,232.19,239.06,251.91,250.95,255.75,99.92,88.00,76.62,54.56,47.86,41.17,24.99,26.35,38.54,52.09,77.97,100.70
