Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
air_leakage,0.07156136970557415,0.003171906363680034,0.28708671106745387,0.0057537843682420155,0.006241331484049921,0.007162937574613985,0.005037463488972602,0.001503209555537402,0.001963733600735351,0.002089912688092089,0.0014607948442535055,0.0010858216746710834,0.004384059402030038,0.006343416722832313,0.006695212144803311,0.3326983661806726,0.33304445792529686,0.3485392604095894,0.30242157402311504,0.2182835820895522,0.10324877614597243,0.056408288564850306,0.04688644688644693,0.11725924181775364,0.28155052522562507,0.3444631038229774,0.3461007061713233
boiler_eff,4.106674989530469e-05,0.0,0.00018843291115386402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002828054298642641,0.0005512071436445503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025493945188012775,0.0005907256079549874
chiller_cop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling_setpoint,0.017195967506408977,0.030477446353302868,0.03589136879046087,0.022738544885735134,0.023450872988702576,0.02350028565987437,0.028117308414334023,0.033574667833558745,0.04023948193703415,0.043611876892484316,0.04652424267712595,0.0365112389344429,0.02570994507420812,0.022120249441110667,0.02284615384615384,0.05431961438635521,0.05814834867352453,0.05542349555861387,0.026839672947031604,0.007554103715802316,0.01174778230640139,0.01073131955484895,0.015813253012048122,0.007712082262210724,0.02217211574596016,0.05940470235117559,0.05580313892656467
cooling_setpoint_setup,0.010345090230513459,0.0025815431662816178,0.04018280476240648,0.0011238567663928866,0.000522261391826629,0.00030987333927273085,0.0009781822821417505,0.0018706791378609515,0.003503795778760338,0.010505944152612667,0.010568031704095069,0.002378667111797326,0.00019844419749171047,0.0001593688991594106,0.00031270765742881013,0.11205900648715897,0.051826311819847024,0.04344569288389501,0.03313840155945415,0.024857375713121414,0.02139291656762535,0.021534847298355548,0.024796447076239753,0.018089171974522315,0.020312206131277002,0.01253799392097258,0.015928857617511928
dhw_bath,0.022737068965517266,1.031062475503514e-05,0.10522052317393846,0.0,4.3527465831023446e-05,3.8740169681907975e-05,0.0,0.0,4.1865527924388036e-05,0.0,0.0,4.183750313789359e-05,3.9696717081461255e-05,0.0,3.9094569764224186e-05,0.076703531930075,0.08090682196339435,0.1082067585070059,0.12938668415874047,0.15045395590142668,0.16220843141450886,0.10081541882876201,0.10347246580147326,0.15127020785219394,0.12772963604852694,0.09255509231685521,0.07386310579886074
dhw_kitchen,0.03591878395023801,0.00027490086387587097,0.1605102886590508,7.755244484075308e-05,8.705114254629045e-05,0.00011621600681790004,0.0003405124712691925,0.0005295747107707164,0.0006695401096371787,0.00013965180150824475,0.00021524818115279586,0.0006691480908369579,0.0002778218764884172,0.00011953143676787449,3.909304143869948e-05,0.11616381184244848,0.12239319700344202,0.16307063365886895,0.19444444444444445,0.2271049393566532,0.24621594349142273,0.15774446823697352,0.16137744767049295,0.23187772925764188,0.19576369352970377,0.14321926489226877,0.11155632456060467
equipment_density_bath,0.007816352495974689,0.010837657018022938,0.004113069075366021,0.010631331612803786,0.010593220338983002,0.010811850711812246,0.011160431198478185,0.01136869361168416,0.011430709119627566,0.01072782761490795,0.010564133270604332,0.011051560098051421,0.010802712505913819,0.010647140312685524,0.0103313007340662,0.0008490566037736171,0.005943863511282246,0.00610298792116979,0.005763688760806921,0.0020712510356255473,0.0021739130434781716,0.0015948963317384032,0.001512859304084822,0.0018083182640144739,0.006455287640022848,0.0030561568827199145,0.0070699135899450006
equipment_density_cafeteria,0.0017321679737739171,0.009535720404317261,0.028374131875676688,0.008970343734292206,0.008897955640435709,0.008808530366249316,0.009295810518273261,0.0096685082872928,0.010057591186044556,0.011641929499072314,0.01136802367980784,0.009718051384717985,0.009024341975064323,0.008780991735537222,0.008617664262039304,0.02661491544219569,0.03250891024948704,0.037341299477221805,0.03124448367166807,0.018215309046254617,0.014371257485029975,0.01187178472497035,0.010522360015031986,0.01408090117767548,0.02759649449934745,0.034157247546888585,0.03821349504283376
equipment_density_classroom,0.20767193442705262,0.25501439739272935,0.0012648348986785717,0.24991275214629724,0.2532764758812253,0.2560678767647263,0.2626304960755924,0.2645118973873119,0.2656138906559893,0.24993715961457896,0.24595318504716435,0.2576178324827379,0.2551151350965995,0.2508424750842475,0.24853904104766597,0.0022592487997741607,0.003529671299360172,0.00012745347947987388,0.0012628540501533516,0.0008288437629506662,0.0007249879168680796,0.00039888312724377996,0.0007567158531971084,0.000774993541720515,0.000951655881233292,0.0017859420844495543,0.004711887700009855
equipment_density_computer,0.01473594479178832,0.01846221859484458,0.0,0.0180003838034926,0.018263266712612032,0.018514259429622756,0.019033983239988252,0.01922456875705308,0.01925465838509319,0.018333410106407433,0.017771905898397493,0.018708609271523104,0.01846105502965559,0.01806207358914692,0.017915876639708995,0.0,0.00033072428618660486,0.00025484199796139436,0.0,0.0004144218814752595,0.00024166263895614103,0.0,0.0,0.00025839793281666966,0.0,0.00038245792962775547,0.00039385584875941564
equipment_density_corridor,0.039182129107065644,0.04958634014234519,0.003335889054786469,0.048521239697161794,0.04904381303092438,0.04973013214219239,0.0511542390194076,0.05160483208882282,0.05199967876646318,0.048708421005506534,0.04785581106277184,0.05019087803897923,0.0496280755292771,0.04866646229307169,0.04803460598081628,0.0012249128427399931,0.004738292011019359,0.004964990451941446,0.00270562770562768,0.0022793203481143685,0.0016916384726921286,0.001196649381731198,0.0011350737797957298,0.0015503875968992835,0.0045670789724071344,0.004330106979113464,0.004919323101141283
equipment_density_gym,0.013611298352188217,0.033938822522459194,0.06790941875265172,0.03174603174603187,0.032269007335792785,0.03252584710587882,0.03424147068565754,0.03531834019638904,0.036927201819954514,0.036953379110950514,0.03632639411420449,0.035246768029921084,0.033004830917874366,0.0318797809963887,0.03166438042981254,0.07502321262766944,0.07499457347514647,0.08914728682170554,0.07515065579581712,0.05008176614881445,0.02328931572629049,0.006764822920811706,0.002645502645502656,0.029720727645401068,0.08397089009143496,0.08988623577947241,0.08097636574970941
equipment_density_kitchen,0.02739108121978238,0.03761871826447815,0.013494735716957968,0.035104436651928674,0.035587493049317735,0.035818963876517715,0.037817057373281567,0.03850613779039544,0.039134362680683314,0.04383287009614072,0.04212879011512676,0.038185177581605466,0.03653163866037664,0.0352457411396123,0.03489757484914864,0.014027868699148975,0.017699115044247836,0.01591511936339529,0.015563506261180634,0.007431874483897594,0.004581625271280389,0.0023904382470120427,0.0015122873345935406,0.004641567818463118,0.013050879515793413,0.013144590495450028,0.022204908453447615
equipment_density_library,0.026897242836249377,0.033961969916298504,0.001170456074263426,0.03317517410270142,0.0335394657734261,0.03408613244678814,0.03500965494081103,0.035392897316406775,0.03553739474987623,0.0333838453414153,0.03267751667870661,0.03469042610238005,0.03391157927712729,0.03333988598388044,0.03290768103082432,0.00018867924528298132,0.0019834710743802404,0.0011467889908257315,0.0007215007215007061,0.0006216328222130365,0.0004833252779121103,0.00039888312724377996,0.0007567158531971084,0.0005167958656331557,0.0015223596574690447,0.0010192381195056478,0.002751842751842763
equipment_density_lobby,0.006079002509530055,0.0077812505337228055,0.0006326302612627214,0.0076318223866790715,0.007743889249405113,0.007854310245254766,0.008037905068110694,0.008017492711370335,0.008153078202995042,0.007635354002776519,0.007490476394298677,0.0077345309381236915,0.0078115753343590555,0.007683776932826354,0.007578112855588328,0.0001885369532427981,0.0011024142872891006,0.0016560509554139548,0.0014432617716037938,0.0004145936981758525,0.0004834421078074939,0.00039888312724377996,0.0,0.0002584647195657279,0.00019043991620639898,0.0005102691669856647,0.0006894513936768186
equipment_density_mechanical,0.008060698720843588,0.011588941636414477,0.005915250591525028,0.011222999461911045,0.01134549846857338,0.011593090211132367,0.011893214120028769,0.01214836340154183,0.01223152831909784,0.011532961203118513,0.011350544058032843,0.011812981845312088,0.011564786405475563,0.011334017850090848,0.0110447992559294,0.00452190296749886,0.007268722466960315,0.006617459913463936,0.007930785868781503,0.004142502071251095,0.002657646774583219,0.0015955325089748364,0.0015134317063942168,0.0028416429863084326,0.007227082540889986,0.005981165691015511,0.009235606209471387
equipment_density_office,0.02804315820016553,0.037339767757502515,0.0094470015163512,0.03632510973210219,0.03672880132478441,0.03736022967663952,0.03845356120628855,0.03882184820577962,0.03914373088685013,0.03717826501429932,0.036258980715095986,0.0381196999347684,0.03724063177454322,0.036505714952181065,0.036131247615414065,0.008275343238668513,0.01055060995713808,0.011171765900723569,0.011684342980406357,0.008886133498656742,0.004827419744146823,0.0027899561578318167,0.0018910741301059269,0.005417956656346772,0.012895884695619187,0.011809523809523896,0.010893032384690866
gas_max_kitchen,0.03946868456582023,0.001682929258583829,0.1771374232054154,0.0011627906976744626,0.0011746791385685526,0.0012391093901258207,0.0016166773027016543,0.002035830618892508,0.0023422142289514503,0.0024651162790697728,0.002537634408602165,0.0021320178922286663,0.0013886133703631134,0.001234617069576655,0.0010550996483001571,0.10795198122574245,0.11283185840707972,0.15088686481303937,0.195276114437791,0.24006001500375088,0.27364792070674415,0.35797399041752215,0.36334196891191706,0.2745278673422386,0.2121687587168759,0.14404132628543964,0.10652337858220208
heating_setpoint,0.05822759389714784,0.0015550284402001283,0.24769315521278065,0.00031016167177134915,0.00021762785636566428,0.0018187446792045014,0.0025495028469448215,0.003292549083370604,0.003382893417975285,0.0019523986612124205,0.001719838335196516,0.0030889964935715856,0.00257507329054741,0.0005575023892960129,0.0015236755743085434,0.20811375993308237,0.19476284584980244,0.29753558529849167,0.3041047520965132,0.3063257512867341,0.24994984954864594,0.19855967078189296,0.1802687643395608,0.2742616033755274,0.3529850746268656,0.26994394135403194,0.1675181500403334
heating_setpoint_setback,0.08076822496038893,0.0038790902642373798,0.30921086122112384,0.005606898418467919,0.005426289286334433,0.004938462132026593,0.005209656925031723,0.003775576485872064,0.0016718913270637645,0.000930232558139482,0.0005594285222480224,0.001670773986049061,0.004741021690174299,0.00523851099293592,0.005926156965183868,0.36315789473684207,0.3526266655350929,0.32208275220827526,0.3396295393614429,0.2798082684242062,0.12918156953503052,0.12342657342657345,0.07135325131810186,0.17768331562167905,0.33440390544707094,0.3312923888470234,0.36925953627524305
lighting_density_bath,6.296849932377806e-05,1.7184256471497214e-05,0.00024226762496980223,7.755244484075308e-05,4.3527465831023446e-05,7.748033936381595e-05,4.257311933241477e-05,8.149627154561849e-05,4.186728072007915e-05,4.6552767561989226e-05,4.305519676221005e-05,4.183750313789359e-05,3.969514131466698e-05,3.9845399848551244e-05,0.00011727912431587621,0.0021649096385541206,0.0009928295642581731,0.0012745347947998257,0.0010824463287029094,0.0012427506213753578,0.0,0.00039888312724377996,0.00037850113550346565,0.0005167958656331557,0.0,0.0015273004963725384,0.0028520849724626893
lighting_density_cafeteria,0.010683754872015307,0.001686311682602434,0.05738854826977042,0.0013951866062084132,0.0010877605186442151,0.00030990935151462034,0.0008936550491510615,0.0019135249572510334,0.00280205763037939,0.0033939281231112083,0.003997421018697643,0.0023406478578892466,0.0007935248373273632,0.0008363868089852157,0.000977096849839756,0.05055306700795321,0.05851575013347575,0.08808917969223308,0.07380010321692757,0.040779429489754944,0.026853612167300273,0.019291338582677106,0.017964071856287442,0.030893897189161783,0.07197106690777572,0.06934306569343068,0.06274957216200806
lighting_density_classroom,0.01172190563524809,0.013472687188699397,0.1079931972789115,0.010960273814559728,0.010710892286429947,0.010799800146047128,0.012608053974277922,0.014509693281206007,0.016905716529574684,0.01863667661234796,0.019389876532733646,0.015425333939870103,0.012075204531151752,0.010908659736769261,0.010126484053697577,0.11117201059651048,0.1209157351676698,0.15205614380694404,0.12098035807404833,0.07207936829317681,0.042243436754176515,0.021386138613861353,0.016936394429808026,0.04811608961303464,0.12023460410557188,0.1382323978335794,0.13168175321581713
lighting_density_computer,0.0009633542242535323,2.7494715859270785e-05,0.004608666442727511,7.755244484075308e-05,8.705114254629045e-05,0.00011622050904572392,8.514623866482955e-05,4.07497962510975e-05,0.00012559658377292614,0.00013965180150824475,0.00012915446874462347,0.0,0.00011908542394411376,7.969079969721573e-05,0.00011727453969743613,0.004704554008280015,0.005611795774647788,0.006233303650934931,0.005403458213256561,0.003105590062111772,0.0021739130434781716,0.0007977662544874182,0.0007567158531971084,0.002840175574490045,0.00608133789433676,0.003945024179180482,0.005893330714075322
lighting_density_corridor,0.0039351826601071995,2.4057545649249132e-05,0.018963855103469242,0.00031012560086829,4.352557127308337e-05,0.0005033881897386078,0.0002979230507321314,4.0748135772751335e-05,0.0003768055264810693,0.0005586592178771161,0.0009472143287694776,0.0003765375282403289,0.0004364732957702311,0.00039831116067869955,0.0002735871179552161,0.020140428677013975,0.015097208645595595,0.025704706320625947,0.023956314955082023,0.016313213703099454,0.008864398658361392,0.00515873015873012,0.003394945303658991,0.010232796111537622,0.028671846096929417,0.024135357053993504,0.019980694980694914
lighting_density_gym,0.005765480752185202,0.006909978337766272,0.05368586618830344,0.005687753917585492,0.005906366715886326,0.005875304394882231,0.0065395558197801195,0.006908603242979594,0.008095814380503266,0.00973890460511058,0.00960796088187347,0.007549845666138325,0.006138127673055644,0.005685658621923496,0.005812139179279174,0.05515609356512244,0.053047283594834016,0.06644680591181137,0.063483826327625,0.0544692737430167,0.026789947842579483,0.00753370340999198,0.004146249528835259,0.03331650681474004,0.07286568787384454,0.06951219512195125,0.05655355954757142
lighting_density_kitchen,0.0007443835983832246,0.0017820476723504675,0.0033059184002580716,0.00120136412959232,0.0012179738135628898,0.0013549610932601245,0.0017437904048996113,0.002076040055361031,0.002466761434902598,0.0026036823507532185,0.002794496990541727,0.0022565816966152127,0.0016260807487903412,0.0012742404332417201,0.0009768677711784934,0.0024477499529279335,0.005059949400505926,0.004199541868159815,0.0018027762754642405,0.0008288437629506662,0.0004833252779121103,0.00039888312724377996,0.00037835792659848697,0.0,0.0036107943747624048,0.002673116089613136,0.008434680266771279
lighting_density_library,0.0019066950436870613,3.4368040471773204e-05,0.0092108438580967,0.00011632866726112961,0.0,0.0003098853424234619,0.00017027797880035778,0.0,0.00016746211169731416,0.00023269884115982394,0.0003443822643134417,8.366450533365501e-05,0.00023815194093832766,0.00011953619954576697,0.0001563660529298778,0.008265239034469761,0.00869469513537317,0.014560648265383712,0.012556053811659244,0.006615670870374205,0.004583835946924121,0.002391390992427211,0.001512859304084822,0.004901960784313667,0.014180374361883153,0.00964956830878625,0.010192081536652353
lighting_density_lobby,0.0009003979266216642,1.0310660191640835e-05,0.004473581686526917,0.0001163241566497585,8.705114254629045e-05,0.00011621600681790004,4.257311933241477e-05,8.149959250207918e-05,8.372755055055147e-05,0.0001862024020109489,0.00021525744790774654,0.00020917876417190882,7.939028262933396e-05,3.984698756781689e-05,0.00011727453969743613,0.005358653755758272,0.00550297160466652,0.0049586776859504205,0.004320432043204228,0.0026915113871634672,0.0021739130434781716,0.0011961722488037314,0.0007567158531971084,0.0020655822359927265,0.0072119946858985665,0.004203286205578885,0.00569688635693938
lighting_density_mechanical,8.760714764820356e-05,0.00020276237967432428,0.0012105723316969412,0.00015510488968150616,0.00013057671381937384,0.0002324320136360203,0.0002554169682005971,0.00024447885257914537,0.00025118265165153543,0.00023275300251365306,0.00021526671546050444,0.000251014517006243,0.00023816139403803546,0.00019921906127971532,3.909304143869948e-05,9.428625306435145e-05,0.001873484681507623,0.00025503698036210176,0.0018024513338138846,0.0012427506213753578,0.0004833252779121103,0.0007974481658692016,0.00037835792659848697,0.0005167958656331557,0.0,0.0008917197452228431,0.0044156608772446555
lighting_density_office,0.0009167407812820439,0.00018557402513495825,0.003775055080874925,0.0002326302729528624,0.0,0.00038732667131467476,0.0003405124712691925,0.00020372407611136115,8.373105584865708e-05,4.655493482318122e-05,0.0,0.0001255072585031215,0.0003571995554850111,0.00023905334873900263,0.0002345215759849995,0.004138060754255598,0.0018770012145300596,0.007996953541507939,0.007362183515891482,0.0018633540372670044,0.0024137098720734113,0.0011961722488037314,0.0007567158531971084,0.0018083182640144739,0.006451612903225871,0.0026737967914439516,0.003143109714173533
oa_area_bath,2.4640724546731346e-05,0.0,0.00012115174929668964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018857250612856893,0.000551389501544016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012748597654246437,9.84930562395855e-05
oa_area_cafeteria,0.00386038017900115,1.0310518447304689e-05,0.01902082463957354,0.0,0.0,0.0,4.257311933241477e-05,4.0748135772751335e-05,8.372755055055147e-05,4.6552767561989226e-05,4.305519676221005e-05,0.0,0.0,0.0,0.0,0.020931548180275306,0.019629466254962518,0.02153963803211825,0.021837213499368232,0.01803482587064686,0.013778100072516324,0.009573195053849301,0.008327024981075034,0.014990953734815154,0.020948390782708083,0.02116267210606829,0.019797104304146607
oa_area_classroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oa_area_computer,0.00041889231729580245,0.0,0.0020595797380429585,0.0,4.352557127308337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002451442579671932,0.003970004411116163,0.0030588835075196904,0.0016242555495397278,0.0,0.0,0.0,0.0,0.0,0.0,0.004079551249362484,0.002560819462227963
oa_area_corridor,0.0004161544590128876,0.0,0.0020595797380429585,0.0,4.352557127308337e-05,0.0,0.0,0.0,4.1865527924388036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002451442579671932,0.003970004411116163,0.0030588835075196904,0.0016242555495397278,0.0,0.0,0.0,0.0,0.0,0.0,0.004079551249362484,0.002560819462227963
oa_area_gym,0.023567484099888004,0.0009888412017167757,0.1197517735269967,0.0,4.352557127308337e-05,7.747733787860003e-05,0.0005956686380462697,0.0016679549245351962,0.0027139874739039904,0.0024150102173508352,0.0019766242695084565,0.002045843597344498,0.0005554453481452679,3.9845399848551244e-05,3.909304143869948e-05,0.1624552140297945,0.1537273930304368,0.1455518735661482,0.10990795885219269,0.06384742951907142,0.029731689630166713,0.011567610690067776,0.007191521574564772,0.03696045489790643,0.105503713578366,0.15413054563997966,0.1620210775140353
oa_area_kitchen,0.0004461426452153553,0.000134031672715388,0.0027144335299729657,3.8777726074107744e-05,4.3527465831023446e-05,7.748033936381595e-05,0.00012771392081737393,0.00024447885257914537,0.00029303415941055416,0.00013965830268609998,0.0001291600292762782,0.00020917876417190882,0.00015878056525878075,7.969079969721573e-05,3.9094569764224186e-05,0.004325747602031295,0.005057724024189202,0.002671076062070821,0.001983411467724476,0.00041450777202079017,0.0004833252779121103,0.00039888312724377996,0.0,0.0005167958656331557,0.001332064700285448,0.0029254642584584578,0.004223138872520061
oa_area_library,0.0004161544590128876,0.0,0.0020595797380429585,0.0,4.352557127308337e-05,0.0,0.0,0.0,4.1865527924388036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002451442579671932,0.003970004411116163,0.0030588835075196904,0.0016242555495397278,0.0,0.0,0.0,0.0,0.0,0.0,0.004079551249362484,0.002560819462227963
oa_area_lobby,8.213574848868948e-06,0.0,4.0383916432178865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428625306435145e-05,0.00022055580061766905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
