key,dependencies,units,values,,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,0,20,,,,,,,,,
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,0,10,,,,,,,,,
below_grade_wall_insul,,R-IP,0,20,,,,,,,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof,,,,,,
roof_reflectance,,,0,1,,,,,,,,,
roof_emittance,,,0,1,,,,,,,,,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,20,,,,,,,,,
roof_base_cont_insul,,R-IP,0,20,,,,,,,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile,,,,
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in,,,,,,,
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,R-IP,0,20,,,,,,,,,
wall_base_cont_insul,,R-IP,0,20,,,,,,,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab,,,
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in,,,,,,,,
window_u,,U-IP,0,2,,,,,,,,,
window_shgc,,SHGC,0,1,,,,,,,,,
window_transmittance,,,0,1,,,,,,,,,
thermal_bridging,,,TRUE,FALSE,,,,,,,,,
air_leakage,,CFM/ft2,0,4,,,,,,,,,
upstream_duct_leakage,,,0,0.5,,,,,,,,,
downstream_duct_leakage,,,0,0.5,,,,,,,,,
lighting_density_target,,W/ft2,0,5,,,,,,,,,
lighting_density_auditorium,,W/ft2,0,5,,,,,,,,,
lighting_density_bath,,W/ft2,0,5,,,,,,,,,
lighting_density_cafeteria,,W/ft2,0,5,,,,,,,,,
lighting_density_classroom,,W/ft2,0,5,,,,,,,,,
lighting_density_computer,,W/ft2,0,5,,,,,,,,,
lighting_density_corridor,,W/ft2,0,5,,,,,,,,,
lighting_density_elevator,,W/ft2,0,5,,,,,,,,,
lighting_density_gym,,W/ft2,0,5,,,,,,,,,
lighting_density_kitchen,,W/ft2,0,5,,,,,,,,,
lighting_density_library,,W/ft2,0,5,,,,,,,,,
lighting_density_lobby,,W/ft2,0,5,,,,,,,,,
lighting_density_mechanical,,W/ft2,0,5,,,,,,,,,
lighting_density_office,,W/ft2,0,5,,,,,,,,,
lights_fraction_radiant,,,0,1,,,,,,,,,
equipment_density_auditorium,,W/ft2,0,10,,,,,,,,,
equipment_density_bath,,W/ft2,0,10,,,,,,,,,
equipment_density_cafeteria,,W/ft2,0,10,,,,,,,,,
equipment_density_classroom,,W/ft2,0,10,,,,,,,,,
equipment_density_computer,,W/ft2,0,10,,,,,,,,,
equipment_density_corridor,,W/ft2,0,10,,,,,,,,,
equipment_density_gym,,W/ft2,0,10,,,,,,,,,
equipment_density_kitchen,,W/ft2,0,10,,,,,,,,,
equipment_fraction_latent_kitchen,,,0,1,,,,,,,,,
equipment_fraction_radiant_kitchen,,,0,1,,,,,,,,,
equipment_fraction_lost_kitchen,,,0,1,,,,,,,,,
equipment_density_kitchen_exhfan,,W/ft2,0,10,,,,,,,,,
equipment_fraction_latent_kitchen_exhfan,,,0,1,,,,,,,,,
equipment_fraction_radiant_kitchen_exhfan,,,0,1,,,,,,,,,
equipment_fraction_lost_kitchen_exhfan,,,0,1,,,,,,,,,
equipment_density_library,,W/ft2,0,10,,,,,,,,,
equipment_density_lobby,,W/ft2,0,10,,,,,,,,,
equipment_density_mechanical,,W/ft2,0,10,,,,,,,,,
