key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
infiltration_schedule,,,
upstream_duct_leakage,,,
downstream_duct_leakage,,,
lighting_density_target,,,
lighting_density_auditorium,,,
lighting_density_bath,,,
lighting_density_cafeteria,,,
lighting_density_classroom,,,
lighting_density_computer,,,
lighting_density_corridor,,,
lighting_density_elevator,,,
lighting_density_gym,,,
lighting_density_kitchen,,,
lighting_density_library,,,
lighting_density_lobby,,,
lighting_density_mechanical,,,
lighting_density_office,,,
lights_fraction_radiant,,,
lighting_schedule,,,
case_lighting_schedule,,,
equipment_density_auditorium,,,
equipment_density_bath,,,
equipment_density_cafeteria,,,
equipment_density_classroom,,,
equipment_density_computer,,,
equipment_density_corridor,,,
equipment_density_gym,,,
equipment_density_kitchen,,,
equipment_fraction_latent_kitchen,,,
equipment_fraction_radiant_kitchen,,,
equipment_fraction_lost_kitchen,,,
equipment_density_kitchen_exhfan,,,
equipment_fraction_latent_kitchen_exhfan,,,
equipment_fraction_radiant_kitchen_exhfan,,,
