File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/air_leakage=0.15/instance-out.sql,23071.15,20865.22,2205.93,1605.35,1549.55,1931.53,1771.24,1879.93,1751.57,1557.36,1721.91,1703.74,1900.99,1757.04,1735.01,344.04,269.10,232.35,171.72,144.88,113.91,75.77,79.84,112.65,156.17,212.94,292.55
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/air_leakage=1/instance-out.sql,24737.38,21439.90,3297.48,1621.58,1536.88,1903.15,1753.05,1887.78,1890.81,1774.66,1974.45,1835.61,1865.03,1753.16,1643.74,629.62,477.42,353.13,233.30,170.24,107.80,68.64,71.68,106.73,199.01,346.55,533.36
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_coil_cop=2/instance-out.sql,24106.44,21690.45,2416.00,1592.53,1518.71,1903.20,1785.91,1960.93,1919.78,1791.86,2012.17,1868.51,1918.64,1748.56,1669.65,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_coil_cop=4/instance-out.sql,22971.64,20555.65,2416.00,1590.49,1507.36,1882.41,1723.29,1847.68,1745.80,1559.87,1724.41,1710.30,1863.13,1732.61,1668.29,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_coil_cop_gym=2/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_coil_cop_gym=4/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_coil_cop_kitchen=2/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_coil_cop_kitchen=4/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_setpoint=70/instance-out.sql,23249.80,20833.17,2416.63,1590.01,1509.58,1889.18,1736.31,1873.77,1786.86,1614.12,1791.25,1748.12,1878.30,1743.14,1672.53,412.08,316.29,253.06,177.67,144.13,110.18,72.83,76.69,108.68,159.32,238.69,347.02
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/school-secondary/sensitivity/runs/cooling_setpoint=80/instance-out.sql,23242.17,20826.17,2416.00,1590.98,1510.06,1887.37,1738.21,1874.68,1787.27,1615.17,1793.01,1748.02,1876.36,1736.41,1668.61,412.08,316.29,253.01,177.62,144.05,110.12,72.75,76.61,108.59,159.25,238.63,346.99
