File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,161.36,145.49,165.59,154.16,162.71,160.31,160.65,171.16,156.13,160.84,157.59,159.15,78.12,69.71,43.00,25.65,14.69,8.71,6.57,6.12,9.56,18.65,45.04,77.78
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,162.22,146.14,166.80,155.81,164.60,164.39,166.87,175.11,161.42,162.49,158.25,159.95,68.23,49.15,30.64,30.14,20.74,8.18,5.15,6.09,8.95,30.27,55.97,69.66
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,168.41,151.98,172.78,162.28,171.85,175.35,182.77,185.85,166.32,168.95,164.65,166.01,164.94,96.43,62.07,24.92,11.99,6.89,4.08,5.84,6.89,20.93,89.43,123.56
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ2_CZ1/instance-out.sql,164.84,148.49,169.13,158.28,167.25,167.46,169.79,175.66,162.43,165.47,160.91,162.66,150.60,98.60,91.27,51.63,32.96,12.46,6.43,9.57,17.33,43.60,119.15,139.63
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ2_CZ2/instance-out.sql,170.89,154.15,175.07,164.05,174.39,176.63,182.57,187.40,168.69,171.76,166.90,168.71,224.17,107.48,89.66,36.26,20.06,7.27,4.69,6.37,19.69,51.42,119.09,240.36
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/Calib/HZ3_CZ1/instance-out.sql,173.53,156.63,177.93,165.77,176.02,177.17,178.98,185.61,167.63,174.30,169.42,171.37,136.29,208.10,152.03,91.02,36.30,15.34,6.32,8.63,24.82,82.32,158.52,227.94
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,78.97,70.86,80.29,73.90,77.42,75.66,75.70,81.35,74.89,77.97,76.94,78.15,61.99,58.32,41.54,26.16,15.76,9.12,4.91,3.68,10.37,22.87,43.81,68.15
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,81.08,72.73,82.58,76.25,80.00,79.45,80.78,85.31,78.85,80.31,78.80,80.24,53.97,43.42,31.07,25.95,18.77,7.29,2.80,3.50,7.55,26.17,48.52,61.49
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,86.22,77.68,87.66,81.48,85.64,87.18,91.96,93.29,83.62,85.60,84.23,85.22,115.71,77.01,52.04,21.90,11.53,4.73,1.25,3.54,5.92,20.25,72.20,101.55
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,82.12,73.64,83.51,77.11,81.07,80.29,81.59,84.70,78.97,81.23,79.92,81.37,111.22,80.98,75.40,42.78,26.99,10.83,4.70,7.95,14.19,34.94,99.55,119.24
