key,dependencies,units,values
building_name,,,
run_control,,,
latitude,,,
heat_sizing_factor,,,
cool_sizing_factor,,,
timestep,,,
sizing_window,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical
foundation_insul,,,
slab_insulation_extent,,,
below_grade_wall_insul,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof
roof_reflectance,,,
roof_emittance,,,
roof_base_cavity_insul,,,
roof_base_cont_insul,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,,
wall_base_cont_insul,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in
window_u,,,
window_shgc,,,
window_transmittance,,,
thermal_bridging,,,true,false
air_leakage,,,
infiltration_schedule,,,
lighting_density_target,,,
lighting_density_bulkstorage,,,
lighting_density_finestorage,,,
lighting_density_office,,,
lighting_schedule,,,
equipment_density_bulkstorage,,,
equipment_density_office,,,
equipment_schedule,,,
occupant_density_office,,,
occupant_density_bulkstorage,,,
occupant_density_finestorage,,,
occupant_schedule,,,
internal_mass_area_ratio,,,
heating_setpoint,,,
cooling_setpoint,,,
heating_setpoint_setback,,,
cooling_setpoint_setup,,,
heating_setpoint_bulkstorage,,,
heating_setpoint_finestorage,,,
cooling_setpoint_finestorage,,,
oa_area_bulkstorage,,,
oa_area_finestorage,,,
oa_area_office,,,
oa_person_bulkstorage,,,
oa_person_finestorage,,,
oa_person_office,,,
minoa_schedule,,,
minfracoa_schedule,,,
zone_hvac,,,SZDX,RTU,VRF,ASHP,UH
loss_factor,,,
supply_fan_type_rtu,,,CONSTANT,VARIABLE
fan_eff_office,,,
fan_eff_finestorage,,,
fan_eff_bulkstorage,,,
fan_rise_office,,,
fan_rise_finestorage,,,
fan_rise_bulkstorage,,,
fan_motor_eff_office,,,
fan_motor_eff_finestorage,,,
fan_motor_eff_bulkstorage,,,
return_fan,,,false,true
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER
heating_coil_eff,,,
heating_coil_eff_office,,,
heating_coil_cop_office,,,
heating_coil_cop_finestorage,,,
heating_design_supply_air_temp_bulkstorage,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER
cooling_coil_cop_office,,,
cooling_coil_cop_finestorage,,,
economizer_type_office,,,NoEconomizer,DifferentialDryBulb
economizer_type_finestorage,,,NoEconomizer,DifferentialDryBulb
economizer_high_limit,,,
economizer_lockout,,,
economizer_max_oa_frac,,,
night_cycle,,,false,true
night_cycle_storage,,,false,true
operation_schedule,,,
operation_schedule_storage,,,
flow_area_intakevent_bulkstorage,,,
fan_eff_intakevent_bulkstorage,,,
fan_rise_intakevent_bulkstorage,,,
min_temp_intakevent_bulkstorage,,,
hi_radiant,,,false,true
hi_radiant_fueltype,,,NaturalGas,Electricity
hi_radiant_eff,,,
heating_source,,,BOILER,CHP
boiler_type,,,NONCONDENSING,CONDENSING,ELECTRIC
supply_hw_setpoint_type,,,Constant,Reset
supply_hw_temp,,,
supply_hw_delta,,,
supply_hw_temp_at_lo,,,
hw_lo_outdoor_temp,,,
supply_hw_temp_at_hi,,,
hw_hi_outdoor_temp,,,
pump_type_hw,,,CONSTANT,VARIABLE
pump_eff_hw,,,
pump_head_hw,,,
pump_control_hw,,,INTERMITTENT,CONTINUOUS
boiler_eff,,,
chp_therm_eff,,,
chp_elec_eff,,,
ext_light_w,,,
schedule_ext_lights,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY
daylighting_controls,,,true,false
top_daylighting,,,NONE,SKYLIGHT,TUBULAR
rainwater_harvest,,,true,false
graywater_recycling,,,true,false
cooling_coil_condensate,,,true,false
landscaping_control,,,true,false
landscaping_area,,,
annual_irrigation_factor,,,
irrigation_system_efficiency,,,
vestibule,,,true,false
heating_setpoint_sch,,,
cooling_setpoint_sch,,,
heating_setpoint_sch_bulkstorage,,,
