key,dependencies,units,values,,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
foundation_insul,,R-IP,0,16,,,,,,,,,
slab_insulation_extent,,in,0,5,,,,,,,,,
below_grade_wall_insul,,R-IP,0,16,,,,,,,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof,,,,,,
roof_reflectance,,,0.1,0.7,,,,,,,,,
roof_emittance,,,0.1,0.95,,,,,,,,,
roof_base_cavity_insul,,R-IP,0,16,,,,,,,,,
roof_base_cont_insul,,R-IP,0,16,,,,,,,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile,,,,
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in,,,,,,,
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,R-IP,8,20,,,,,,,,,
wall_base_cont_insul,,R-IP,3,15,,,,,,,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab,,,
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in,,,,,,,,
window_u,,U-IP,0.1,0.6,,,,,,,,,
window_shgc,,SHGC,0.1,0.6,,,,,,,,,
window_transmittance,,,0.1,0.6,,,,,,,,,
thermal_bridging,,,TRUE,FALSE,,,,,,,,,
air_leakage,,CFM/ft2,0.1,1,,,,,,,,,
lighting_density_bulkstorage,,W/ft2,0.1,1,,,,,,,,,
lighting_density_finestorage,,W/ft2,0.1,1.5,,,,,,,,,
lighting_density_office,,W/ft2,0.1,1.5,,,,,,,,,
equipment_density_bulkstorage,,W/ft2,0.1,1,,,,,,,,,
equipment_density_office,,W/ft2,0.1,1,,,,,,,,,
occupant_density_office,,1/ft2,0,0.7,,,,,,,,,
occupant_density_bulkstorage,,1/ft2,0,0.7,,,,,,,,,
occupant_density_finestorage,,1/ft2,0,0.7,,,,,,,,,
internal_mass_area_ratio,,,1,4,,,,,,,,,
oa_area_bulkstorage,,CFM/ft2,0,0.5,,,,,,,,,
oa_area_finestorage,,CFM/ft2,0,0.5,,,,,,,,,
oa_area_office,,CFM/ft2,0,0.5,,,,,,,,,
oa_person_bulkstorage,,CFM,4,15,,,,,,,,,
oa_person_finestorage,,CFM,1,10,,,,,,,,,
oa_person_office,,CFM,1,10,,,,,,,,,
loss_factor,,,0.5,1.5,,,,,,,,,
supply_fan_type_rtu,,,CONSTANT,VARIABLE,,,,,,,,,
fan_eff_office,,,0.4,0.9,,,,,,,,,
fan_eff_finestorage,,,0.4,0.9,,,,,,,,,
fan_eff_bulkstorage,,,0.4,0.9,,,,,,,,,
fan_rise_office,,in H2O,0,6,,,,,,,,,
fan_rise_finestorage,,in H2O,0,6,,,,,,,,,
fan_rise_bulkstorage,,in H2O,0,6,,,,,,,,,
fan_motor_eff_office,,,0.5,0.95,,,,,,,,,
fan_motor_eff_finestorage,,,0.5,0.95,,,,,,,,,
fan_motor_eff_bulkstorage,,,0.5,0.95,,,,,,,,,
heating_coil_type,,,NONE,GAS,ELECTRIC,HOTWATER,,,,,,,
heating_coil_eff,,,0.5,0.95,,,,,,,,,
heating_coil_eff_office,,,0.5,0.95,,,,,,,,,
heating_coil_cop_office,,,1,4,,,,,,,,,
heating_coil_cop_finestorage,,,1,4,,,,,,,,,
cooling_coil_type,,,NONE,DX,CHILLEDWATER,,,,,,,,
cooling_coil_cop_office,,,1,4,,,,,,,,,
cooling_coil_cop_finestorage,,,1,4,,,,,,,,,
economizer_type_office,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_type_finestorage,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_high_limit,,F,55,65,,,,,,,,,
economizer_lockout,,,,,,,,,,,,,
economizer_max_oa_frac,,,0.1,1.9,,,,,,,,,
night_cycle,,,FALSE,TRUE,,,,,,,,,
night_cycle_storage,,,FALSE,TRUE,,,,,,,,,
flow_area_intakevent_bulkstorage,,CFM/ft2,0.01,0.1,,,,,,,,,
fan_eff_intakevent_bulkstorage,,,0.5,0.95,,,,,,,,,
fan_rise_intakevent_bulkstorage,,in H2O,0,6,,,,,,,,,
hi_radiant,,,FALSE,TRUE,,,,,,,,,
hi_radiant_fueltype,,,NaturalGas,Electricity,,,,,,,,,
hi_radiant_eff,,,0.5,0.95,,,,,,,,,
heating_source,,,BOILER,CHP,,,,,,,,,
boiler_type,,,NONCONDENSING,CONDENSING,ELECTRIC,,,,,,,,
hw_lo_outdoor_temp,,F,15,25,,,,,,,,,
supply_hw_temp_at_hi,,F,110,190,,,,,,,,,
boiler_eff,,,0.5,0.98,,,,,,,,,
chp_therm_eff,,,0.5,0.95,,,,,,,,,
chp_elec_eff,,,0.5,0.95,,,,,,,,,
ext_light_w,,W,0,100000,,,,,,,,,
top_daylighting,,,NONE,SKYLIGHT,TUBULAR,,,,,,,,
rainwater_harvest,,,TRUE,FALSE,,,,,,,,,
graywater_recycling,,,TRUE,FALSE,,,,,,,,,
cooling_coil_condensate,,,TRUE,FALSE,,,,,,,,,
annual_irrigation_factor,,,1,20,,,,,,,,,
irrigation_system_efficiency,,,0.4,0.95,,,,,,,,,
vestibule,,,TRUE,FALSE,,,,,,,,,
