File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/air_leakage=0.1/instance-out.sql,1187.73,963.33,224.40,82.30,73.86,83.65,77.19,80.87,79.13,79.55,85.37,78.37,81.38,80.19,81.48,36.46,33.09,26.10,17.31,11.20,6.15,2.61,1.69,7.08,16.10,27.09,39.51
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/air_leakage=1/instance-out.sql,1611.91,983.69,628.22,84.36,75.71,85.57,78.98,82.62,80.62,80.75,86.41,79.85,83.19,82.08,83.55,120.22,108.18,67.85,42.17,24.11,10.72,5.70,4.18,12.49,34.37,72.77,125.46
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/annual_irrigation_factor=1/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/annual_irrigation_factor=20/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/below_grade_wall_insul=0/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/below_grade_wall_insul=16/instance-out.sql,1275.52,929.91,345.61,79.63,71.46,80.97,74.56,78.09,76.29,76.32,81.97,75.54,78.65,77.60,78.82,58.15,55.62,39.45,24.80,14.79,8.27,4.07,2.79,9.46,21.51,41.68,65.01
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/boiler_eff=0.5/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/boiler_eff=0.98/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/boiler_type=CONDENSING/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/boiler_type=ELECTRIC/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
